,BottleneckSummaryIndex,Id,StartDate,EndDate,FromIntersectionName,ToIntersectionName,Direction,MaxDurationMinutes,StartSegmentOffsetMiles,EndSegmentOffsetMiles,MaxLengthMiles,FromPointLat,FromPointLon,ToPointLat,ToPointLon,label,OverlapSecond
139,88,368e6ba0-e6da-402c-b0e6-034b105c0e30,2022-03-12T04:40:21.000Z,2022-03-12T05:11:33.000Z,US-33,CR-33A / CR-371 Old Columbus Rd,Southbound,31,0.287,0.559,6.81,39.83556651,-82.74965205,39.76373307,-82.67412843,Yes,
140,232,5b4db403-6057-4b92-a347-60c7236da588,2022-03-11T20:38:34.000Z,2022-03-11T20:56:04.000Z,"I-75  Exits 10,10A,10B / OH-126 Ronald Reagan Cross County Hwy Exits 27,27A,27B / Galbraith Rd","I-75  Exits 16,16A,16B / I-275  Exits 43A,43B",Northbound,18,0.1,0.309,5.23,39.20993038,-84.46127942,39.27797014,-84.44052262,Yes,
141,230,6266a15e-55b3-40fe-97ad-aaca43597cb3,2022-03-11T22:21:28.000Z,2022-03-11T22:42:36.000Z,"I-75  Exits 54A,54B / OH-4 / OH-48 Main St",I-75  Exit 58 / Needmore Rd,Northbound,21,0.198,0.571,2.95,39.77052497,-84.19420675,39.80874056,-84.18882001,Yes,
142,222,d833672f-4bef-4a58-9423-83d7f57533da,2022-03-12T03:18:48.000Z,2022-03-12T03:27:49.000Z,US-36 / Township Rd 52,US-36 / CR-41 Mun Mun / CR-41,Eastbound,9,0.889,0.153,5.31,40.33309082,-82.17511998,40.33758788,-82.07797384,Yes,
143,82,9ef67aec-fcc5-45aa-bad8-fe4821bd642a,2022-03-12T04:30:21.000Z,2022-03-12T04:40:21.000Z,US-35 / OH-325,US-35 / CR-41 Dixon Run Rd,Westbound,10,0.215,0.971,8.16,38.8888543,-82.38911074,38.95548208,-82.48955229,Yes,
144,355,79017ac9-7903-42f5-8271-3b24ffd17270,2022-03-12T05:06:48.000Z,2022-03-12T05:34:50.000Z,OH-7 / OH-46 / CR-422 Columbiana Waterford Rd,OH-7 / Pine Hollow Rd,Southbound,28,0,0.295,5.96,40.86276,-80.65088,40.78263177,-80.62583499,Yes,
145,117,df956c77-37c8-48e5-84e4-1707238037c6,2022-03-11T19:38:23.000Z,2022-03-11T20:29:22.000Z,I-75,I-75  Exit 9 / OH-4 Paddock Rd / Summit Rd,Southbound,51,0.432,0.116,4.35,39.25772,-84.44208,39.2004603,-84.46908122,Yes,
146,78,45189dd4-c763-4512-bfe3-4f8daec31a13,2022-03-11T19:38:23.000Z,2022-03-11T20:13:23.000Z,"I-75  Exits 3,4 / I-74 / US-52 Hopple St",I-75  Exit 1E / 7th St,Southbound,35,0,0,2.18,39.13322,-84.53272,39.10409,-84.52762,Yes,
147,353,7e5cd8a8-1a84-4192-b267-4de76ae742ac,2022-03-12T02:03:58.000Z,2022-03-12T02:04:46.000Z,I-77,I-77  Exit 136 / OH-21,Southbound,1,0.299,0,4.55,41.19556163,-81.6258125,41.13656,-81.65064,Yes,
148,69,da26ca92-ca5f-490c-b85d-e61a7c0cab52,2022-03-12T04:51:23.000Z,2022-03-12T05:04:30.000Z,OH-13 / Township Road 37,OH-13 Jacksontown Rd / Lake Shore Blvd / Boundaries Rd,Northbound,13,0.158,0.232,6.23,39.83255514,-82.38753032,39.91604008,-82.40897,Yes,
