,BottleneckSummaryIndex,Id,StartDate,EndDate,FromIntersectionName,ToIntersectionName,Direction,MaxDurationMinutes,StartSegmentOffsetMiles,EndSegmentOffsetMiles,MaxLengthMiles,FromPointLat,FromPointLon,ToPointLat,ToPointLon,label
0,28,ec73557c-8f79-4959-8cc6-8e881e605a4f,2024-01-09T10:45:03.000Z,2024-01-09T11:21:55.000Z,I-80,I-80,Eastbound,37,0.902,0.422,19.45,41.1598399,-80.64399048,41.184826222015054,-80.28337456,Yes
1,3,b1c454e4-533d-4da2-b2bf-bedb8cdb4556,2024-01-09T11:26:58.000Z,2024-01-09T12:06:11.000Z,OH-11,OH-11,Northbound,39,0.769,0.129,29.42,41.32458897091589,-80.70520712,41.74959609266028,-80.71051653,Yes
2,82,acfac15f-55ee-4336-85a1-185ad12bf3d9,2024-01-09T07:50:54.000Z,2024-01-09T08:54:43.000Z,I-70,I-70,Westbound,64,0.381,0.324,22.41,39.94651107136019,-82.46577211,39.936827619451016,-82.87920927,Yes
3,74,142cfe45-afe5-475f-8fd9-15a6c90451ac,2024-01-09T07:48:57.000Z,2024-01-09T08:38:57.000Z,"I-70  Exits 110,110A,110B / CR-117 Brice Rd / Brice Rd",I-70,Eastbound,50,0.412,0.327,15.37,39.931989417391655,-82.81834488,39.94218998102758,-82.53363951,Yes
4,301,70812e2c-91e0-4db5-8874-f9152c7db4cd,2024-01-09T10:43:56.000Z,2024-01-09T10:56:08.000Z,I-680  Exit 3A / OH-711 / Elberen St,I-680  Exit 16 / OH-164 South Ave,Southbound,12,0.442,0.879,12.25,41.11247544651766,-80.69181866,40.969881794875896,-80.63759373,Yes
5,464,b02c3d24-e742-4f84-8401-d32cb0924bba,2024-01-09T10:21:02.000Z,2024-01-09T11:03:58.000Z,OH-21 / Grill Rd,I-77  Exit 138 / Ghent Rd,Northbound,43,0.978,0.112,11.66,40.97195769,-81.66122723,41.13876065054793,-81.64972963,Yes
6,237,ed0ea182-e6dd-46f3-8018-296e1f651501,2024-01-09T20:53:52.000Z,2024-01-09T22:49:51.000Z,"I-71  Exits 3,3A-B / Essex Pl / William Howard Taft Rd",I-71  Exit 188 / US-127 Dixie Hwy,Southbound,116,0.427,0.141,7.11,39.13806,-84.48782,39.059873792866725,-84.53576083,Yes
7,115,d3f98891-da49-41f7-8a05-6574e2f2b7c2,2024-01-09T08:52:55.000Z,2024-01-09T09:27:58.000Z,I-70  Exit 198 / CR-114 Oxford Rd,I-70  Exit 215 / US-40 National Rd,Eastbound,35,0.559,0.308,15.71,40.05574,-81.22318,40.07790000073976,-80.93734132,Yes
8,81,6459e66b-4e08-45ed-9226-55986d7a4304,2024-01-09T13:20:52.000Z,2024-01-09T13:29:52.000Z,I-71  Exit 19 / Fields Ertel Rd / Escort Dr,I-71  Exit 8 / Highland Ave,Southbound,9,0.035,0.223,10.85,39.29705079663051,-84.31149893,39.17089089383309,-84.40622116,Yes
9,465,601a0817-e3d3-4c88-a559-394b1aacb991,2024-01-09T09:24:42.000Z,2024-01-09T10:48:49.000Z,I-71,I-71 / CR-92 Crider Rd / CR-291 Koogle Rd,Northbound,84,0,0.325,21.38,40.54802,-82.65441,40.787770335542135,-82.4079897,Yes
10,143,55236085-0c25-405f-9617-03630a758384,2024-01-09T09:37:56.000Z,2024-01-09T09:52:56.000Z,I-70  Exit 225 / Marion St,I-70,Westbound,15,0.101,0.267,14.46,40.07115939251209,-80.75067185,40.06400629206483,-81.01068358,Yes
11,197,afa843dc-c941-41aa-b94e-2847db9e951c,2024-01-09T09:43:54.000Z,2024-01-09T10:18:55.000Z,US-22 Cadiz-Piedmont Rd / CR-2 Deersville Ridge Rd / US-250,US-22 / CR-22 A,Eastbound,35,0.041,0,12.23,40.27764,-81.01313,40.34962771459087,-80.81320507,Yes
12,81,1fee7ce8-0fdd-4f08-bbec-78c5375188e5,2024-01-09T13:27:52.000Z,2024-01-09T13:37:03.000Z,I-71,I-71  Exit 8 / Highland Ave,Southbound,9,1.264,0.378,11.1,39.29828541566533,-84.3098363,39.170832680830266,-84.40891003,Yes
13,69,22cdd2e1-5e11-4592-8c83-472f5c7827c9,2024-01-09T09:16:03.000Z,2024-01-09T09:43:54.000Z,I-77,I-77,Southbound,28,0.761,0.755,11.89,40.203316439431084,-81.55694283,40.03737996395498,-81.56187002,Yes
14,81,074a370f-30f5-48a0-bb7a-8a4159933a00,2024-01-09T12:50:58.000Z,2024-01-09T13:26:41.000Z,I-71,I-71  Exit 8 / Highland Ave,Southbound,36,0.595,0.378,11.77,39.30540734703128,-84.30098313,39.170832680830266,-84.40891003,Yes
15,81,09d50272-a73b-408d-b976-d34b119f2f46,2024-01-09T12:37:53.000Z,2024-01-09T12:51:51.000Z,I-71,I-71  Exit 8 / Highland Ave,Southbound,14,0.595,0.223,11.62,39.30540734703128,-84.30098313,39.17089089383309,-84.40622116,Yes
16,45,de703c49-32a9-430a-b9e5-c003ad11b877,2024-01-09T11:20:04.000Z,2024-01-09T11:39:01.000Z,OH-11,OH-11,Southbound,19,0.813,0.322,16.07,41.43017637,-80.71240996,41.20088030824908,-80.70604624,Yes
17,415,bb611ebc-7066-49dc-84b2-54331a7d8161,2024-01-09T09:06:03.000Z,2024-01-09T09:56:55.000Z,US-250 Cadiz Dennison Rd,US-250 Cadiz Dennison Rd / US-250 / Deersville Ridge Rd,Eastbound,51,0.304,0.535,14.32,40.36458790194689,-81.23762134,40.28075997,-81.01514998,Yes
18,148,f080c070-ad5d-4d47-8780-268a4b40e2d4,2024-01-09T22:01:45.000Z,2024-01-09T23:17:52.000Z,"I-71  Exits 109A,109B,110A / I-670  Exits 4A,4A-B,4B,4C,5,5A-5B / Goodale St",I-71  Exit 116 / Morse Rd / Sinclair Rd,Northbound,76,0.104,0.455,6.61,39.96391253983678,-82.98290649,40.05641021096597,-82.99799001,Yes
19,75,9eedb93f-7d4c-4b0c-a64c-0c1745bd6a42,2024-01-09T08:48:50.000Z,2024-01-09T11:57:49.000Z,OH-37 / OH-161 / OH-37 Johnstown-Alexandria Rd,"I-270  Exits 30,33 / OH-161  Exits 40,41,42 / OH-161 Dublin Granville Rd Exits 40A,40B",Westbound,189,0,0.198,14.34,40.07353,-82.6001,40.08109812886156,-82.86187486,Yes
20,25,84cbc73a-5bfc-42f7-ad57-15060ea13430,2024-01-09T09:42:38.000Z,2024-01-09T09:58:52.000Z,I-71,I-71,Northbound,16,0,0,17.05,40.54802,-82.65441,40.73804389702666,-82.45859299,No
21,50,c9194eed-c1ad-4e2c-8120-808cad7da4db,2024-01-09T10:26:05.000Z,2024-01-09T10:40:01.000Z,I-76,I-76,Westbound,14,0,0.716,13.48,40.94359195,-80.60948759,41.073182597664896,-80.79451339,Yes
22,168,e9ef2e10-9d16-49d1-a56f-529460f0c4d9,2024-01-09T10:11:56.000Z,2024-01-09T10:51:07.000Z,US-36 / CR-10,US-36 / CR-15 St,Eastbound,39,0.678,0.981,14.07,40.30040998927378,-81.82792995,40.28256425263336,-81.57433158,Yes
23,142,3d39cb24-58ec-4736-8638-b1b5633ce7c8,2024-01-09T11:08:41.000Z,2024-01-09T11:20:43.000Z,US-30,US-30 / OH-13 Main St,Westbound,12,0.184,0,7.03,40.78125783857352,-82.3803001,40.77856081528069,-82.50923478,Yes
24,3,4b99fefd-f247-4c18-b1ac-402541b330f0,2024-01-09T11:12:59.000Z,2024-01-09T11:26:58.000Z,OH-11,OH-11,Northbound,14,0.295,0.46,16.85,41.33482003121824,-80.70445999,41.57526375075945,-80.71322332,Yes
25,210,d79a28c9-8bad-4c41-ba02-60add0ddbad9,2024-01-09T12:31:42.000Z,2024-01-09T12:41:04.000Z,I-71  Exit 117 / OH-161 Dublin Granville Rd,"I-71  Exits 109A,109B,110A / I-670  Exits 4A,4A-B,4B,4C,5,5A-5B / Goodale St",Southbound,9,0.112,0.177,6.46,40.08215746074113,-82.98776696,39.99424494237035,-82.98515852,Yes
26,45,0dc6820c-26a1-41b1-8971-52f89b89215d,2024-01-09T11:01:57.000Z,2024-01-09T11:26:05.000Z,OH-11,OH-11,Southbound,24,0.813,0.477,14.61,41.43017637,-80.71240996,41.22136978932907,-80.71055005,Yes
27,25,c15753f4-d6f9-4f42-9d93-dc966b812159,2024-01-09T10:33:49.000Z,2024-01-09T11:25:45.000Z,I-71,I-71,Northbound,52,0.159,0.133,15.97,40.549930902277325,-82.65272627,40.73011954,-82.47187552,Yes
28,125,3735ef85-4dbe-491b-b73f-8a62f2f6372a,2024-01-09T11:15:36.000Z,2024-01-09T12:02:31.000Z,US-6,US-6 / OH-191 / County Road 22/A,Eastbound,47,0,0.298,16.31,41.4480173,-84.72283001,41.44191054814327,-84.40950345,Yes
29,47,f1477833-1880-4967-b6d0-60d484d010ae,2024-01-09T07:53:55.000Z,2024-01-09T08:26:53.000Z,I-270,I-270,Northbound,33,0.7,0.05,10.24,39.92433929221537,-82.86930208,40.03748781031376,-82.90273012,Yes
30,254,00d13282-fdae-4bee-86ca-ede8c3b28fa1,2024-01-09T10:21:02.000Z,2024-01-09T10:43:56.000Z,I-76  Exit 2 / OH-3 Wooster Pike / OH-3 Center St,I-76  Exit 14 / CR-17 Cleveland Massillon Rd,Eastbound,23,0.091,0.928,11.82,41.03303908346631,-81.86024146,41.03944887997886,-81.643634,Yes
31,47,9ec8d70c-f4a2-4a19-90f7-d66c8dbed50c,2024-01-09T08:00:53.000Z,2024-01-09T08:21:00.000Z,"I-270  Exits 35,35A,35B / I-670  Exits 10A-B,10C,10D / US-62",I-270,Northbound,20,0.723,0.797,10.89,40.00800169456098,-82.88669297,39.89023331,-82.91020935,Yes
32,82,ba4a7714-cef7-446c-a38c-a90250d1aea1,2024-01-09T07:59:44.000Z,2024-01-09T08:28:45.000Z,I-70,I-70,Westbound,29,0.31,0,11.37,39.94050141211468,-82.34739946,39.94345508,-82.55983626,Yes
33,174,3769b24a-daae-4777-9f1d-22b3322ebb64,2024-01-09T10:22:58.000Z,2024-01-09T10:54:03.000Z,US-22,US-22 / Lovers Ln,Eastbound,31,0.307,1.024,9.83,40.33523057618918,-80.85646179,40.39083995,-80.70337057,Yes
34,127,5da5a7b8-d38e-4b88-a764-4ecb6dcf8c1c,2024-01-09T10:32:57.000Z,2024-01-09T10:54:03.000Z,I-77,I-77,Northbound,21,0.437,0.299,8.46,40.37371632758548,-81.56006797,40.47728739357232,-81.48421296,Yes
35,127,18359989-c90d-44d6-9369-37aca413b582,2024-01-09T09:03:56.000Z,2024-01-09T09:31:02.000Z,I-77,I-77,Northbound,27,0.431,0.58,14.8,39.636942285166405,-81.46384184,39.83060930374695,-81.54768154,Yes
36,301,d8d6f835-a23c-4f7d-837e-f91cac5e9508,2024-01-09T10:51:57.000Z,2024-01-09T11:06:05.000Z,"I-680  Exits 6,6A,6B / Market St",I-680  Exit 16 / OH-164 South Ave,Southbound,14,0.124,0.879,9.56,41.092162079228416,-80.65376006,40.969881794875896,-80.63759373,Yes
37,24,924001d7-a5b6-42f6-b569-2b4387ce90b0,2024-01-09T10:16:56.000Z,2024-01-09T10:46:59.000Z,US-30 / CR-16 Funk Rd,US-30 / Township Road 1255,Westbound,30,0.983,0.86,11.89,40.784490000000496,-82.11711632,40.78738981802862,-82.34391183,Yes
38,210,5dde0886-38c7-4c1d-8db7-42c7470d9cf3,2024-01-09T13:11:48.000Z,2024-01-09T13:14:59.000Z,I-71  Exit 116 / Morse Rd / Sinclair Rd,"I-71  Exits 109A,109B,110A / I-670  Exits 4A,4A-B,4B,4C,5,5A-5B / Goodale St",Southbound,3,0.086,0.132,5.39,40.06480999199651,-82.99630259,39.99019982274856,-82.98556002,Yes
39,77,5bc4e75e-c5bc-4b60-9b8c-5a0f33536e1c,2024-01-09T09:39:39.000Z,2024-01-09T10:33:49.000Z,I-71  Exit 176 / US-30 / CR-92 Crider Rd,I-71,Southbound,54,0.122,0.041,12.07,40.78394934067666,-82.41140049,40.646199503977485,-82.54737026,Yes
