,BottleneckSummaryIndex,Id,StartDate,EndDate,FromIntersectionName,ToIntersectionName,Direction,MaxDurationMinutes,StartSegmentOffsetMiles,EndSegmentOffsetMiles,MaxLengthMiles,FromPointLat,FromPointLon,ToPointLat,ToPointLon,label,OverlapSecond
0,187,218289c7-ab40-497a-8aeb-036fb31606cb,2022-02-18T03:04:50.000Z,2022-02-18T03:15:33.000Z,"I-75  Exits 201A,201B / Sunrise / OH-25 Anthony Wayne Trl","I-75  Exits 32A-B,32B-A / West Rd",Northbound,11,0.242,0.963,40.95,41.64694508,-83.54848314,42.12936944,-83.2412416,Yes,
1,10,6558e512-d433-4c74-ab59-9c40556d7660,2022-02-18T03:16:33.000Z,2022-02-18T04:36:33.000Z,I-75  Exit 5 / Erie Rd,I-75,Southbound,80,0.202,0,30.57,41.79651039,-83.46060172,41.4390998,-83.6202899,Yes,
2,37,02aecdaa-40a5-43a0-b649-692cfcf5552a,2022-02-18T04:39:04.000Z,2022-02-18T05:11:15.000Z,I-71  Exit 220 / I-271  Exit 1,I-271,Northbound,32,0,0.331,33.41,41.16195,-81.78158,41.5086671,-81.46317183,Yes,
3,781,22cf1ed5-a7f7-49fe-8b09-90492fb72aa7,2022-02-18T04:01:08.000Z,2022-02-18T05:41:54.000Z,I-77  Exit 133 / Ridgewood Rd / Miller Rd,"I-90  Exits 171,172A,172C / I-77  Exit 162B / OH-10 Carnegie Ave",Northbound,101,0.389,0.31,28.3,41.118771,-81.62152607,41.49092545,-81.66848076,Yes,
4,206,22a64e40-1ab5-466a-bf0a-79d5985538e4,2022-02-18T02:44:24.000Z,2022-02-18T03:08:36.000Z,US-23  Exit 6 / CR-91 Dussel Dr / Dussel Dr,US-23,Northbound,24,0.604,0.455,35.72,41.58598017,-83.69104,42.08929557,-83.67437243,Yes,
5,280,3c94dd9b-e297-4575-a501-50fdce5df181,2022-02-17T23:41:27.000Z,2022-02-18T00:25:31.000Z,US-23,US-23  Exit 31 / Willis Rd,Northbound,44,0.998,0,34.68,41.66409206,-83.6938859,42.15070723,-83.68366259,Yes,
6,941,d1a982cb-4a60-47bc-b70e-e67298eabe03,2022-02-18T03:11:26.000Z,2022-02-18T03:23:32.000Z,"I-75  Exit 204 / I-475  Exits 20A,20B","I-75  Exit 192 / I-475  Exits 1A,1B,2 / OH-25 Dixie Hwy",Southbound,12,0,0.795,19.4,41.67579,-83.5782,41.53197211,-83.62757733,Yes,
7,1138,c2f0955e-b99a-4366-8c0b-eac8dc7e01e0,2022-02-18T03:37:29.000Z,2022-02-18T04:03:22.000Z,US-23  Exit 6 / CR-91 Dussel Dr / Dussel Dr,US-23  Exit 27 / Arkona Rd,Northbound,26,1.28,0.746,36.62,41.57724,-83.69101,42.09218927,-83.67450292,Yes,
8,961,9e33c5fe-ba64-4976-a6e3-5527431faf8e,2022-02-18T00:03:29.000Z,2022-02-18T00:11:31.000Z,I-75,I-75  Exit 205,Northbound,8,0.425,0.242,28.58,41.29488841,-83.63299219,41.67583975,-83.57271,Yes,
9,206,e13e4626-8f64-4667-813e-3239c3989c45,2022-02-18T03:29:31.000Z,2022-02-18T03:39:40.000Z,US-23  Exit 6 / CR-91 Dussel Dr / Dussel Dr,US-23,Northbound,10,1.28,0,33.74,41.57724,-83.69101,42.05211355,-83.66980084,Yes,
