,BottleneckSummaryIndex,Id,StartDate,EndDate,FromIntersectionName,ToIntersectionName,Direction,MaxDurationMinutes,StartSegmentOffsetMiles,EndSegmentOffsetMiles,MaxLengthMiles,FromPointLat,FromPointLon,ToPointLat,ToPointLon,label,OverlapSecond
0,46,02cc4212-bdec-4e98-a3a6-7b208a2f3b89,2022-02-04T03:54:54.000Z,2022-02-04T04:59:50.000Z,I-70  Exit 218 / CR-28A Mall Rd / Red Roof Ln,I-70,Westbound,65,0.506,0.577,64.36,40.07017318,-80.88161221,39.94933763,-82.03069718,Yes,
1,46,93b05937-9989-4fd7-9709-d69b7e9f95ff,2022-02-04T05:04:53.000Z,2022-02-04T05:59:52.000Z,I-70  Exit 220 / US-40 National Rd,I-70,Westbound,55,0.318,0.816,47.04,40.0667152,-80.83727279,39.99081998,-81.67368002,Yes,
2,46,7836e528-0f83-4cda-ad31-eb4f6053cc35,2022-02-04T06:52:56.000Z,2022-02-04T07:18:51.000Z,I-70  Exit 225 / Marion St,I-70,Westbound,26,0.323,0.461,36.78,40.07165,-80.74886,40.03890962,-81.41940866,Yes,
3,54,605aa5f0-ab12-401c-86e0-07a621044451,2022-02-04T03:15:35.000Z,2022-02-04T04:42:48.000Z,"I-70  Exits 101A,101B / I-71  Exits 107,108A / Parsons Ave",I-71,Northbound,87,0.287,0,18.65,39.95686008,-82.98273999,40.2098667,-82.93033939,Yes,
4,54,9bdbe4f5-55d2-4333-81c0-96fb5c0a3c99,2022-02-04T06:07:38.000Z,2022-02-04T07:05:34.000Z,I-71 / US-50,I-71,Northbound,58,0.449,0.953,25.58,39.09878,-84.50843,39.37223086,-84.24820671,Yes,
5,719,28674f0e-da66-48bd-b289-4d105321d543,2022-02-04T04:30:01.000Z,2022-02-04T04:51:55.000Z,OH-2 / Heisley Rd / OH-44 Heisley Rd,I-90 / OH-2,Westbound,22,0.215,0.474,23.21,41.71882,-81.29511,41.52934388,-81.65365896,Yes,
6,2488,8f1294ef-a29e-4df3-8db1-81b1c96e4008,2022-02-04T04:46:06.000Z,2022-02-04T04:48:00.000Z,I-70  Exit 218 / CR-28A Mall Rd / Red Roof Ln,"I-77  Exits 44A,44B / I-70  Exits 180A,180B",Westbound,2,0.506,0.327,37.75,40.07017318,-80.88161221,39.99904995,-81.55973014,No,114
7,1509,407e1de9-d2fb-4d10-b0b5-1c435e93aa10,2022-02-04T08:27:55.000Z,2022-02-04T08:29:53.000Z,I-70,I-70  Exit 176 / OH-723,Westbound,2,0,0.879,20.62,40.05758765,-81.25462108,40.00858864,-81.61656799,Yes,
8,1,8b42b465-0d99-4048-b83e-7bbb4e872a47,2022-02-04T05:08:15.000Z,2022-02-04T06:26:03.000Z,I-90,I-90,Eastbound,78,1.042,0.639,17.6,41.7261297,-81.1171919,41.81355858,-80.80944452,Yes,
9,297,7add1644-4272-4128-a93e-68fec7e3ba3f,2022-02-04T04:51:02.000Z,2022-02-04T04:53:51.000Z,OH-2 / Heisley Rd / OH-44 Heisley Rd,I-90  Exit 178 / Eddy Rd,Westbound,3,0.064,0.488,19.49,41.71851013,-81.29627949,41.5568493,-81.59481741,Yes,
10,231,3ca5cdd9-a437-44a8-98a2-c9fdb675f01a,2022-02-04T05:36:58.000Z,2022-02-04T06:46:48.000Z,OH-11  Exit 34 / US-224 Main St / US-224 Boardman Canfield Rd,OH-11,Southbound,70,0.902,0.917,21.46,41.01827238,-80.73956569,40.72200477,-80.7047401,Yes,
