,BottleneckSummaryIndex,Id,StartDate,EndDate,FromIntersectionName,ToIntersectionName,Direction,MaxDurationMinutes,StartSegmentOffsetMiles,EndSegmentOffsetMiles,MaxLengthMiles,FromPointLat,FromPointLon,ToPointLat,ToPointLon,label
0,196,727422ba-5fb7-46ee-86ee-4a64fcd6c1d0,2024-01-19T12:33:06.000Z,2024-01-19T12:49:59.000Z,I-75  Exit 44 / OH-725 Miamisburg Centerville Rd,I-71  Exit 189 / KY-1072 Kyles Ln / KY-1072,Southbound,17,0.244,0.138,44.36,39.631849458727466,-84.23069491,39.08528989756879,-84.52292,Yes
1,196,b06c61c6-4fd1-410d-a4d9-8d5100193e00,2024-01-19T12:47:51.000Z,2024-01-19T13:05:41.000Z,I-75  Exit 43 / I-675,I-71  Exit 189 / KY-1072 Kyles Ln / KY-1072,Southbound,18,0.205,0.213,43.59,39.609253948690565,-84.2345763,39.07399874736036,-84.51895994,Yes
2,1257,42cc2f02-33b2-4a55-8917-bba5d85758a9,2024-01-19T12:09:50.000Z,2024-01-19T12:37:58.000Z,I-75  Exit 38 / OH-73 Central Ave / OH-73 2nd St,"I-75  Exits 1C,1D,1F / I-71  Exit 1B / US-50 6th St Expy",Southbound,28,0.083,0.196,36.71,39.55906501984147,-84.27402498,39.11108989131342,-84.53152722,Yes
3,223,d8d8b823-9652-44fb-b6e4-639dac5d67b8,2024-01-19T21:31:11.000Z,2024-01-19T21:57:05.000Z,I-480  Exit 42 / I-80  Exit 187,I-80  Exit 151 / I-480  Exit 1 / OH-10,Westbound,26,0,0.354,40.79,41.25411,-81.3688,41.38598295450572,-81.98146156,Yes
4,1208,4e4a304f-8a7d-42d5-8fb4-1048c03d9464,2024-01-19T12:50:53.000Z,2024-01-19T13:22:00.000Z,"I-75  Exits 1C,1D,1F / I-71  Exit 1B / US-50 6th St Expy",I-75  Exit 43 / I-675,Northbound,31,0,0.603,42.19,39.10645,-84.53074,39.62057565,-84.23032164,Yes
5,223,6b89320e-48ae-4243-98dd-7c221fc11f52,2024-01-19T19:54:09.000Z,2024-01-19T21:31:11.000Z,I-480  Exit 42 / I-80  Exit 187,I-80  Exit 151 / I-480  Exit 1 / OH-10,Westbound,97,0,0.354,40.79,41.25411,-81.3688,41.38598295450572,-81.98146156,Yes
6,223,3ed60fdd-8e1c-4b00-8c70-29f8f07c91e0,2024-01-19T22:50:05.000Z,2024-01-19T22:55:06.000Z,I-480,I-80  Exit 151 / I-480  Exit 1 / OH-10,Westbound,5,0.937,0.19,36.06,41.29127485371671,-81.42291986,41.38867675652242,-81.96993054,Yes
7,877,d2af92ce-3bbe-4347-b31b-9560bccbb810,2024-01-19T12:43:51.000Z,2024-01-19T12:45:38.000Z,"I-75  Exits 1C,1D,1F / I-71  Exit 1B / US-50 6th St Expy",I-75  Exit 41 / Austin Blvd,Northbound,2,0,0.255,39.4,39.10471,-84.52851,39.58120055270955,-84.24819938,Yes
8,877,c070f391-394e-408d-a912-ec6684777ce9,2024-01-19T12:30:01.000Z,2024-01-19T12:47:51.000Z,"I-75  Exits 1C,1D,1F / I-71  Exit 1B / US-50 6th St Expy",I-75  Exit 41 / Austin Blvd,Northbound,18,0,0.791,38.9,39.10471,-84.52851,39.57572551990595,-84.25436572,Yes
9,196,c4c8c9fd-aa60-4f59-8a09-7fb55cc3b885,2024-01-19T13:02:57.000Z,2024-01-19T13:33:50.000Z,I-75  Exit 29 / OH-63 Hamilton Lebanon Rd,I-71  Exit 189 / KY-1072 Kyles Ln / KY-1072,Southbound,31,0.546,0.88,31.04,39.43778065417898,-84.33750472,39.06119198887707,-84.52695115,Yes
