,BottleneckSummaryIndex,Id,StartDate,EndDate,FromIntersectionName,ToIntersectionName,Direction,MaxDurationMinutes,StartSegmentOffsetMiles,EndSegmentOffsetMiles,MaxLengthMiles,FromPointLat,FromPointLon,ToPointLat,ToPointLon,label,OverlapSecond
0,2,3fc5455a-2b9e-4450-9d0c-c02374600a84,2022-03-12T08:10:40.000Z,2022-03-12T10:16:41.000Z,I-77  Exit 161 / CR-21 / CR-21 Southern Hwy,I-77,Northbound,126,1.148,1.111,17.08,39.10649763,-81.54834778,39.32573041,-81.46595862,Yes,
1,64,b8947c49-4e9a-4c75-abbb-69703972d9f6,2022-03-12T05:53:42.000Z,2022-03-12T06:10:43.000Z,I-80,I-80,Eastbound,17,0.477,0.244,54.4,41.16207688,-80.61303137,41.19164933,-79.613949,Yes,
2,64,44dbc239-2d04-4e1f-9804-f6f97afbcf5c,2022-03-12T05:47:53.000Z,2022-03-12T05:54:45.000Z,I-80,I-80,Eastbound,7,0.592,1.076,52.89,41.17076828,-80.58946415,41.19401659,-79.61783444,Yes,
3,64,c35cb19b-4cf0-4d0d-ad84-f0ee559871fc,2022-03-12T05:33:43.000Z,2022-03-12T05:45:45.000Z,I-80  Exit 229 / OH-193 Belmont Ave,I-80,Eastbound,12,0.653,0.245,51.72,41.15850568,-80.6275748,41.18343003,-79.67519989,Yes,
4,2,b126ea26-885a-431f-8216-f7a2421d0a12,2022-03-12T06:58:39.000Z,2022-03-12T07:50:42.000Z,I-77,I-77,Northbound,52,0.712,0.149,39.63,39.93018066,-81.52992318,40.46326088,-81.49769399,Yes,
5,2,b26df2a6-ca4e-45f5-84ee-2c8ec612144e,2022-03-12T05:43:41.000Z,2022-03-12T06:53:41.000Z,I-77,I-77,Northbound,70,0.177,0.401,44.88,39.45143575,-81.4393235,40.05863293,-81.56690067,Yes,
6,173,807b1157-f16f-456b-acbf-8f536d0fae03,2022-03-12T05:51:44.000Z,2022-03-12T06:10:43.000Z,I-70  Exit 178 / OH-209 Southgate Pkwy,I-70  Exit 225 / Marion St,Eastbound,19,0.375,0.145,41.26,39.99873,-81.57688,40.06670086,-80.83789725,Yes,
7,645,7c0e55f2-06ff-4214-a95b-747563fc4daa,2022-03-12T05:04:48.000Z,2022-03-12T05:23:14.000Z,I-70  Exit 178 / OH-209 Southgate Pkwy,I-70  Exit 220 / CR-214 High Ridge Rd / CR-214 Bellaire-High Ridge Rd,Eastbound,18,0.375,0.288,40.47,39.99873,-81.57688,40.06949087,-80.85236739,Yes,
8,64,7daa8058-4b82-43ff-9480-a277dcd1e031,2022-03-12T05:19:50.000Z,2022-03-12T05:36:47.000Z,I-80  Exit 229 / OH-193 Belmont Ave,I-80,Eastbound,17,0.653,0.715,43.91,41.15850568,-80.6275748,41.19489487,-79.81119303,Yes,
9,46,debb97f6-5e04-46eb-b463-61966dbc5318,2022-03-12T05:44:49.000Z,2022-03-12T06:09:49.000Z,I-70  Exit 225 / Marion St,I-70,Westbound,25,0.881,0.108,41.9,40.0650945,-80.8247368,39.99906051,-81.57679196,Yes,
10,46,4b07bad0-b492-42de-b39d-90733aff00b9,2022-03-12T06:41:41.000Z,2022-03-12T07:25:39.000Z,I-70  Exit 202 / OH-800 Barnesville Hendrysburg Rd / OH-800 Hendrysburg Freeport Rd,I-70,Westbound,44,0.033,0.322,38.34,40.06015262,-81.1628894,39.97669974,-81.84154708,Yes,
11,64,ca113be2-c69b-4c98-86e7-43ad0af800e5,2022-03-12T06:03:40.000Z,2022-03-12T06:24:48.000Z,I-80,I-80,Eastbound,21,0.82,1.115,39.25,41.15845198,-80.6253315,41.19674884,-79.89326327,Yes,
12,333,42cf3ac5-a918-4482-aa29-262a2500be03,2022-03-12T05:45:32.000Z,2022-03-12T07:59:40.000Z,US-35 / Eastern Ave / Township Hwy 1237,US-35 / CR-41 Dixon Run Rd / CR-79 Clary Rd,Eastbound,134,0.062,0.789,30.9,39.31168902,-82.92682888,39.00117782,-82.55971416,Yes,
13,46,f22b4dad-a05f-4af3-bc3e-6b61b768ffc1,2022-03-12T05:41:34.000Z,2022-03-12T05:46:42.000Z,I-70  Exit 218 / CR-28A Mall Rd / Red Roof Ln,I-70,Westbound,5,0.091,0.108,39.12,40.07137976,-80.87571114,39.99906051,-81.57679196,Yes,
14,64,1e899deb-91ad-409b-b989-09d8daee5ca4,2022-03-12T05:26:47.000Z,2022-03-12T05:30:45.000Z,I-80  Exit 229 / OH-193 Belmont Ave,I-80,Eastbound,4,0.653,0.497,38.8,41.15850568,-80.6275748,41.1995667,-79.90415344,No,238
15,64,5c466efd-a31d-46c7-b39b-da4b1245e7b1,2022-03-12T05:03:43.000Z,2022-03-12T05:27:58.000Z,I-80  Exit 229 / Liberty St,I-80,Eastbound,24,0.305,1.03,39.26,41.15526007,-80.66494988,41.20285074,-79.93286676,Yes,
16,173,9c5f4a96-ddaa-4a0f-bd78-5e7798d3ae89,2022-03-12T06:07:52.000Z,2022-03-12T06:57:46.000Z,I-70  Exit 186 / OH-285 / OH-285 Wintergreen Rd,I-70  Exit 225 / Marion St,Eastbound,50,0,0.459,35.56,40.0318,-81.45268,40.06384613,-80.80380977,Yes,
17,64,6f029506-a9ee-46b3-8ce1-874fb838514e,2022-03-12T05:42:52.000Z,2022-03-12T05:51:44.000Z,I-80,I-80,Eastbound,9,0.444,0.497,36.77,41.1698141,-80.59268243,41.1995667,-79.90415344,Yes,
18,216,52993c90-f2f6-46b3-8fe4-0025ab6a6b2a,2022-03-12T05:50:20.000Z,2022-03-12T06:09:34.000Z,US-35,US-35 / CR-84 Chillicothe Pike / CR-84 Clubhouse Rd,Westbound,19,0,0.659,33.51,38.84046121,-82.18715641,39.09311793,-82.65404765,Yes,
19,59,6fe1453c-dc84-4035-bb7b-a17ffcb94f51,2022-03-12T05:13:42.000Z,2022-03-12T05:47:18.000Z,OH-7 / US-35,US-35,Westbound,34,0.236,0.735,29.35,38.84027263,-82.15392362,39.02683989,-82.58721639,Yes,
20,46,596aa887-5ed4-4a39-85ea-e621a05b7c72,2022-03-12T05:30:45.000Z,2022-03-12T05:42:52.000Z,I-70  Exit 218 / CR-28A Mall Rd / Red Roof Ln,I-70,Westbound,12,0.091,1.092,34.8,40.07137976,-80.87571114,40.00402179,-81.49652251,Yes,
21,46,0b99f528-f6fe-4a25-88d5-c2208d467e63,2022-03-12T05:55:42.000Z,2022-03-12T06:20:41.000Z,I-70,I-70,Westbound,25,0.218,0.902,28.72,40.0645198,-81.02091215,40.00440975,-81.53552134,Yes,
