,BottleneckSummaryIndex,Id,StartDate,EndDate,FromIntersectionName,ToIntersectionName,Direction,MaxDurationMinutes,StartSegmentOffsetMiles,EndSegmentOffsetMiles,MaxLengthMiles,FromPointLat,FromPointLon,ToPointLat,ToPointLon,label,OverlapSecond
661,176,ee050735-516d-4412-9de2-b62ba37686cc,2022-11-20T14:54:36.000Z,2022-11-20T14:58:39.000Z,US-6 Chardon Rd,US-6 Chardon Rd / Worrell Rd,Westbound,4,0.504,0.954,2.53,41.58260243,-81.33834848,41.58476539,-81.38794076,No,243
662,19,33bfd99b-6812-4506-ab4e-b4fe338b1b68,2022-11-20T14:10:36.000Z,2022-11-20T14:12:35.000Z,US-20 Euclid Ave,US-20 Euclid Ave / Euclid Ave,Eastbound,2,0.25,0,1.3,41.54924142,-81.56140786,41.56226,-81.54297,Yes,
663,181,3f71f44c-a3f4-4e88-bde6-1a1746f867a0,2022-11-20T14:53:39.000Z,2022-11-20T14:54:36.000Z,OH-306 Chillicothe Rd,OH-306 Chillicothe Rd,Northbound,1,0.149,0.41,2.35,41.55933331,-81.34248649,41.59250229,-81.34889863,No,57
664,20,aae61192-b38a-49d9-b212-c76a3afdf9b9,2022-11-20T16:00:40.000Z,2022-11-20T16:14:29.000Z,US-6 Chardon Rd,Bishop Rd / OH-84 Bishop Rd / US-6 Chardon Rd,Westbound,14,1.027,0.589,1.62,41.58456,-81.44904,41.58367761,-81.47959789,Yes,
665,182,29b3ce31-37f3-4c0a-b394-ab22bb9ac268,2022-11-20T06:16:23.000Z,2022-11-20T06:25:32.000Z,US-20 Main Rd / Amboy Rd,US-20 Center St / Municipal Dr,Westbound,9,0,0,2.13,41.92653,-80.61877,41.91974035,-80.65793642,Yes,
666,27,36928a55-1ba9-4682-a35b-c72b7c985990,2022-11-20T10:10:22.000Z,2022-11-20T10:26:33.000Z,US-322 / School St,OH-11  Exit 73 / US-322,Eastbound,16,0.82,0.71,2.13,41.53578,-80.75687624,41.53575,-80.71603156,Yes,
667,51,54f217ce-210b-40d5-9fe4-1125bb9e438a,2022-11-20T13:49:33.000Z,2022-11-20T13:54:34.000Z,OH-86 / Chardon Windsor Rd / Plank Rd,Chardon Windsor Rd / CR-13 Chardon Windsor Rd / CR-37 Clay St,Southbound,5,0,0.752,2.94,41.56424,-81.00188,41.56255213,-81.05554603,No,248
668,111,d532903b-95fa-4c2e-964e-daca337c37ae,2022-11-20T13:09:30.000Z,2022-11-20T13:14:32.000Z,Green Rd / Ridgehill Rd,Green Rd,Southbound,5,0.259,0.393,1.25,41.55474,-81.5464,41.54142876,-81.53036823,Yes,
669,163,c0de033e-73df-425e-b308-46745a8d3117,2022-11-20T10:14:27.000Z,2022-11-20T10:20:21.000Z,CR-4 Auburn Rd / CR-8 Wilson Mills Rd,CR-4 Auburn Rd,Southbound,6,0.772,0.805,2.23,41.55561363,-81.24330628,41.52365297,-81.24336323,No,354
670,187,7cabc7ef-51fa-41a9-9462-6f99713077a5,2022-11-20T16:24:40.000Z,2022-11-20T16:26:43.000Z,OH-45 / Callender Rd,OH-45 Center Rd / Riverdale Rd,Northbound,2,0.156,0.484,2.37,41.63733589,-80.86515,41.6704226,-80.85735613,No,123
