,BottleneckSummaryIndex,Id,StartDate,EndDate,FromIntersectionName,ToIntersectionName,Direction,MaxDurationMinutes,StartSegmentOffsetMiles,EndSegmentOffsetMiles,MaxLengthMiles,FromPointLat,FromPointLon,ToPointLat,ToPointLon,label
0,5,48b95d8f-127a-4efe-ba9e-9c3753526d17,2023-11-21T21:48:12.000Z,2023-11-22T00:38:19.000Z,I-75  Exit 6 / Mitchell Ave,I-71  Exit 189 / KY-1072 Kyles Ln / KY-1072,Southbound,170,0.547,0.735,8.36,39.16181212154483,-84.51404864,39.06201103404371,-84.52527295,Yes
1,156,daa802b4-c481-4ae9-94a0-403fcdbeeaf2,2023-11-21T20:22:56.000Z,2023-11-21T23:38:47.000Z,I-71  Exit 108B / US-40 Broad St,I-71  Exit 116 / Morse Rd / Sinclair Rd,Northbound,196,0.087,0.455,6.73,39.96260050145347,-82.98261008,40.05641021096597,-82.99799001,Yes
2,97,7d0b01fa-ce9c-46cb-bb23-5472e5ee75c8,2023-11-21T20:19:59.000Z,2023-11-21T20:23:50.000Z,"I-670  Exits 2A,2B,3 / OH-315  Exits 1C,1D,1E,1F,2 / Goodale St","I-270  Exits 35,35A,35B / I-670  Exits 10A-B,10C,10D / US-62",Eastbound,4,0.269,0.558,7.44,39.96942356946165,-83.02121326,40.01023271124675,-82.90792458,Yes
3,5,9ad05b17-b039-423d-9d19-e40cee4ee5b7,2023-11-21T19:51:48.000Z,2023-11-21T20:28:45.000Z,"I-75  Exits 3,4 / I-74 / US-52 Hopple St",I-71  Exit 189 / KY-1072 Kyles Ln / KY-1072,Southbound,37,0.041,0.88,5.65,39.13554368472347,-84.53333347,39.06119198887707,-84.52695115,Yes
4,5,862dd4ca-c516-4e6d-ab6b-788f31098b28,2023-11-21T18:23:33.000Z,2023-11-21T19:19:55.000Z,"I-75  Exits 3,4 / I-74 / US-52 Hopple St",I-71  Exit 189 / KY-1072 Kyles Ln / KY-1072,Southbound,56,0.237,0.88,5.87,39.13890003275932,-84.53447847,39.06119198887707,-84.52695115,Yes
5,51,d1a13773-bd89-4536-96be-47d7b12ba6a1,2023-11-21T20:11:48.000Z,2023-11-21T23:46:52.000Z,I-71  Exit 5 / Dana Ave / Duck Creek Rd,I-71  Exit 189 / KY-1072 Kyles Ln / KY-1072,Southbound,215,0.472,0.88,7.9,39.14314350015114,-84.46795871,39.06119198887707,-84.52695115,Yes
6,104,17cdaa4f-7468-44b1-8138-ee56ffbd0ca0,2023-11-21T22:10:10.000Z,2023-11-21T23:22:02.000Z,I-90  Exit 175 / 55th St / Marginal Rd,I-90  Exit 169 / 44th St,Westbound,72,1.075,0.182,5.14,41.52255855273705,-81.66671182,41.47501773401711,-81.71377818,Yes
7,52,bb14efc3-5801-48d5-a5b7-e955fe5eea08,2023-11-21T20:27:49.000Z,2023-11-21T22:42:47.000Z,I-71  Exit 5 / Duck Creek Rd,I-71  Exit 15 / Pfeiffer Rd,Northbound,135,0.476,0.674,9.1,39.14274118558245,-84.46313617,39.23437271966536,-84.3668899,Yes
8,100,625b3442-5b98-48c6-9da6-baeb17cc72ae,2023-11-21T21:09:52.000Z,2023-11-21T21:37:58.000Z,I-75  Exit 57 / Keats Dr / Neff Rd,I-75  Exit 50B / OH-741 Springboro Rd / Springboro Rd,Southbound,28,0.256,0.299,5.75,39.802515447689984,-84.18956127,39.72721475326419,-84.20848743,Yes
9,51,61b353c3-abd3-43af-88ae-e9491b254012,2023-11-21T19:52:41.000Z,2023-11-21T19:53:43.000Z,"I-71  Exits 3,3A-B / Essex Pl / William Howard Taft Rd",I-71  Exit 189 / KY-1072 Kyles Ln / KY-1072,Southbound,1,0.081,0.735,5.84,39.13100554168194,-84.49515018,39.06201103404371,-84.52527295,Yes
10,7,5ad25f77-b501-4d41-a472-06c98ac98d45,2023-11-21T19:55:47.000Z,2023-11-21T20:07:54.000Z,"I-75  Exits 3,4 / I-74 / US-52 Hopple St","I-71  Exits 191,192 / KY-8 5th St / Bullock St",Southbound,12,0.414,0.324,3.32,39.13597,-84.53351,39.09220956,-84.52252003,No
11,134,59885e2e-ffdc-4a53-a8c0-e61b3671c122,2023-11-21T14:03:47.000Z,2023-11-21T14:56:43.000Z,"I-71  Exits 184,185 / I-275  Exit 84 / KY-236 Commonwealth Ave","I-75  Exits 2,2B / Winchell Ave / Western Hills Viad",Northbound,53,0.545,0.241,7.17,39.03711694294404,-84.59417417,39.101749977426586,-84.52240277,Yes
12,36,8f495b55-3c33-400a-9c0c-482e423fccfc,2023-11-21T21:53:49.000Z,2023-11-21T22:13:50.000Z,I-275  Exit 44 / Mosteller Rd,I-275,Northbound,20,0.109,0.75,9.03,39.28642787502373,-84.42724366,39.23294015741508,-84.29139884,Yes
