,BottleneckSummaryIndex,Id,StartDate,EndDate,FromIntersectionName,ToIntersectionName,Direction,MaxDurationMinutes,StartSegmentOffsetMiles,EndSegmentOffsetMiles,MaxLengthMiles,FromPointLat,FromPointLon,ToPointLat,ToPointLon,label
0,163,348ce83a-a43b-4944-855a-d6ba54f9c6a1,2023-01-31T04:26:34.000Z,2023-01-31T05:13:38.000Z,I-74,I-275  Exit 7 / OH-128 Hamilton Cleves Rd,Eastbound,47,0.646,0.17,36.5,39.31608713927281,-85.35552586,39.21346310703633,-84.72529602,Yes
1,163,70df25b3-d419-4f9c-8e99-8c0e3765b049,2023-01-31T05:26:44.000Z,2023-01-31T07:49:48.000Z,I-74  Exit 143 / County Road 850,I-275  Exit 7 / OH-128 Hamilton Cleves Rd,Eastbound,143,0.398,0.93,34.43,39.31673,-85.32179,39.21668772,-84.73187131,Yes
2,163,f2ea798d-1a98-4308-8283-20c8bbf5bef8,2023-01-31T04:43:36.000Z,2023-01-31T04:46:27.000Z,I-74,I-275  Exit 7 / OH-128 Hamilton Cleves Rd,Eastbound,3,0.327,0.521,34.91,39.31627000872324,-85.33848982,39.21997005258461,-84.73852952,No
3,198,713f9412-dd8f-4f8b-99cb-673882c9d3b1,2023-01-31T04:36:22.000Z,2023-01-31T04:37:54.000Z,I-74,I-74,Eastbound,2,1.137,0.068,33.13,39.31609751,-85.34461083,39.23864698744232,-84.76757188,Yes
4,28,7a1a1585-bdef-4c9c-b791-946bd4a090f4,2023-01-31T07:02:23.000Z,2023-01-31T08:22:37.000Z,I-77,I-77,Northbound,80,1.092,0,18.75,39.50455974,-81.45397653,39.75384603057213,-81.53463573,Yes
5,163,3f58d954-7ab0-4a91-b1bb-90ebee0b2530,2023-01-31T04:14:30.000Z,2023-01-31T04:29:03.000Z,I-74  Exit 149 / IN-229,I-275  Exit 7 / OH-128 Hamilton Cleves Rd,Eastbound,15,0.367,0.174,27.84,39.307519993695706,-85.21546999,39.22212697091036,-84.74251984,Yes
6,203,37a732d2-c634-47ed-a0d6-5c170261d607,2023-01-31T04:53:21.000Z,2023-01-31T06:25:06.000Z,US-22,OH-7,Westbound,92,0.816,0.063,17.52,40.42331,-80.32691,40.379924457586526,-80.61780204,Yes
7,52,e9315b5f-fb73-4df4-a260-56a93033dcfe,2023-01-31T05:03:24.000Z,2023-01-31T06:18:58.000Z,I-74,I-74,Westbound,76,0.331,1.129,20.12,39.26637943381462,-84.80633943,39.287044266803925,-85.16402413,Yes
8,163,bf4438fa-4235-48c0-b846-e3e3eb1e3b07,2023-01-31T07:49:48.000Z,2023-01-31T08:13:31.000Z,I-74,I-275  Exit 7 / OH-128 Hamilton Cleves Rd,Eastbound,24,0.289,0.521,20.05,39.284602011186514,-85.07252879,39.21997005258461,-84.73852952,Yes
9,52,cec0d248-a4ad-4c4f-ac64-836a790d2308,2023-01-31T06:22:32.000Z,2023-01-31T06:38:39.000Z,I-74,I-74,Westbound,16,0.331,0.444,20.56,39.26637943381462,-84.80633943,39.28934027436418,-85.17129562,Yes
10,52,d9ea1034-56fc-46f8-84d8-50bccc0a9d64,2023-01-31T04:21:34.000Z,2023-01-31T06:19:32.000Z,I-74,I-74,Westbound,118,0.331,0.771,19.76,39.26637943381462,-84.80633943,39.28539208,-85.15790768,Yes
11,51,91e4d42f-8667-4a34-9ea9-6394eae7cc2d,2023-01-31T05:48:34.000Z,2023-01-31T06:19:42.000Z,I-70  Exit 198 / CR-114 Oxford Rd,I-70,Westbound,31,0.535,0.587,12.5,40.05632,-81.23381,40.029448450344354,-81.46184365,Yes
12,256,e3cdcbe9-4186-4319-a68f-9b0683606e29,2023-01-31T06:55:23.000Z,2023-01-31T07:22:29.000Z,I-70,I-70  Exit 178 / OH-209 Southgate Pkwy,Eastbound,27,0.45,0.61,11.02,39.97715271150185,-81.78305655,40.00279861221563,-81.5915109,Yes
13,28,2836ab8a-6373-4d4b-b879-cfb81225b303,2023-01-31T06:00:07.000Z,2023-01-31T06:33:28.000Z,I-77,I-77,Northbound,33,0.306,0.291,13.5,39.70291240560959,-81.50690552,39.88567697563695,-81.53181358,Yes
