,BottleneckSummaryIndex,Id,StartDate,EndDate,FromIntersectionName,ToIntersectionName,Direction,MaxDurationMinutes,StartSegmentOffsetMiles,EndSegmentOffsetMiles,MaxLengthMiles,FromPointLat,FromPointLon,ToPointLat,ToPointLon,label,OverlapSecond
0,50,0a1f87f9-6ff7-42de-9b61-554bdf4d06c8,2022-12-24T03:38:10.000Z,2022-12-24T04:35:00.000Z,I-71 / I-70,I-70,Westbound,57,0,0.47,26.32,39.9526,-83.01118,39.94229769,-83.48462793,Yes,
1,52,13af743e-dc82-4710-90e1-6bcd7feb63d8,2022-12-24T04:35:00.000Z,2022-12-24T05:16:35.000Z,"I-70  Exits 101A,101B / I-71  Exits 107,108A / Parsons Ave",I-71,Northbound,42,0,0.282,28.96,39.95407,-82.98988,40.33886005,-82.87857994,Yes,
2,101,a22a633d-278d-4899-9005-6af68d13c53c,2022-12-24T15:08:20.000Z,2022-12-24T15:09:59.000Z,I-70  Exit 97 / US-40 Broad St,I-70,Eastbound,2,0.044,0,25.84,39.959711,-83.04811134,39.94464,-82.59479,Yes,
3,50,d6723bca-7424-4c5f-8a7c-b7e0f63e1ab7,2022-12-24T15:25:26.000Z,2022-12-24T15:53:24.000Z,"I-270  Exits 41-43,43A-B-41 / I-70  Exits 108,108A-B / US-40 Main St",I-70,Westbound,28,0.539,0.239,16.41,39.93412054,-82.85246763,39.97684754,-83.1291164,Yes,
4,52,4ded61ff-3c09-4e9a-8167-167929bc30a6,2022-12-24T16:29:35.000Z,2022-12-24T16:31:08.000Z,"I-70  Exits 100A,100B / Fulton St / US-33 3rd St",I-71,Northbound,2,0.159,0.162,25.17,39.95298,-83.00066,40.2892502,-82.92504998,Yes,
5,52,cd961548-a21b-41c1-a4dd-8f77da1bee9d,2022-12-24T11:08:49.000Z,2022-12-24T11:45:20.000Z,"I-71  Exits 109A,109B,110A / I-670  Exits 4A,4A-B,4B,4C,5,5A-5B / Goodale St",I-71,Northbound,37,0.199,0.956,16.27,39.98874,-82.98547,40.20733839,-82.93074636,Yes,
6,52,34fcef26-2766-497b-8962-83257737d0a9,2022-12-24T18:31:26.000Z,2022-12-24T21:15:22.000Z,"I-70  Exits 100A,100B / Fulton St / US-33 3rd St",I-71,Northbound,164,0.159,0.08,20.87,39.95298,-83.00066,40.2268778,-82.92889237,Yes,
7,52,c5045971-804f-404a-9971-5f7b505eac8d,2022-12-24T17:36:12.000Z,2022-12-24T18:03:10.000Z,"I-70  Exits 100A,100B / Fulton St / US-33 3rd St",I-71,Northbound,27,0.343,1.14,24.67,39.95346055,-82.99442507,40.28494516,-82.9254591,Yes,
8,101,c1e202c2-99c6-4321-80f8-e5c1c1963b63,2022-12-24T03:17:38.000Z,2022-12-24T05:16:35.000Z,"I-70  Exits 101A,101B / I-71  Exits 107,108A / Parsons Ave",I-70,Eastbound,119,0.059,0.175,24.53,39.9541433,-82.98904763,39.9428827,-82.55112996,Yes,
9,101,3364c12f-c6f6-4651-9fd9-14a775a4bd4c,2022-12-24T13:13:31.000Z,2022-12-24T13:15:11.000Z,I-70  Exit 97 / US-40 Broad St,I-70,Eastbound,2,0.174,0.478,24,39.95848258,-83.04663096,39.94596747,-82.62708156,Yes,
10,101,272c26bd-0b69-4e4f-b80d-db5bc4903a5f,2022-12-24T12:52:13.000Z,2022-12-24T12:56:05.000Z,I-70  Exit 97 / US-40 Broad St,I-70,Eastbound,4,0.174,0.601,21.9,39.95848258,-83.04663096,39.9477988,-82.66713556,Yes,
11,52,307b9de2-8776-49ca-8158-0f27af44891c,2022-12-24T04:24:54.000Z,2022-12-24T04:36:56.000Z,"I-70  Exits 101A,101B / I-71  Exits 107,108A / Parsons Ave",I-71,Northbound,12,0.356,0.711,24.79,39.95536002,-82.98363998,40.29699401,-82.92413904,Yes,
12,280,6c6a5a3a-5adc-49b1-a714-dd58d8958022,2022-12-23T23:43:30.000Z,2022-12-24T06:00:41.000Z,I-71,"I-70  Exits 101A,101B / I-71  Exits 107,108A / Parsons Ave",Southbound,377,0.296,0.173,22.92,40.27333432,-82.92689857,39.95835,-82.98301,Yes,
13,52,92d0ca1d-4f2c-486c-abe1-ea8b46100336,2022-12-24T16:36:26.000Z,2022-12-24T16:49:52.000Z,"I-70  Exits 100A,100B / Fulton St / US-33 3rd St",I-71,Northbound,13,0.235,0.633,18.98,39.95313068,-82.99709112,40.20285128,-82.93209195,Yes,
14,2265,688203b0-6e69-4bc2-ac6c-7f397b49f4a9,2022-12-24T03:35:13.000Z,2022-12-24T03:36:54.000Z,US-33 / County Road 37,US-33,Eastbound,2,0.159,0.277,18.16,40.4153923,-83.793526,40.2740199,-83.53200972,Yes,
15,52,01b9c899-6d28-4fd0-a80c-b1643407a071,2022-12-24T03:45:01.000Z,2022-12-24T04:33:07.000Z,"I-70  Exits 101A,101B / I-71  Exits 107,108A / Parsons Ave",I-71,Northbound,48,0,1.055,21.27,39.95407,-82.98988,40.24100393,-82.92834032,Yes,
16,427,b6c1d790-dd70-4d04-b46a-fb0600902961,2022-12-24T23:42:27.000Z,2022-12-24T23:59:27.000Z,"I-70  Exits 101A,101B / I-71  Exits 107,108A / Parsons Ave",I-71  Exit 131 / OH-37,Northbound,17,0.178,0.157,22.27,39.95419591,-82.98695669,40.25834027,-82.92795997,Yes,
17,467,1d0a1b98-842f-4a8c-ac70-25ebf30dd815,2022-12-25T04:06:30.000Z,2022-12-25T05:31:18.000Z,I-90,I-90,Eastbound,85,0.077,0.146,21.93,41.82849023,-80.75318859,41.94959025,-80.37616932,Yes,
18,101,0da34910-98a6-45aa-8c5d-e615b7be2dac,2022-12-24T15:56:28.000Z,2022-12-24T20:13:08.000Z,I-70 / Mooberry St,I-70,Eastbound,257,0.04,0.543,20.92,39.95322997,-82.95421932,39.9442662,-82.58541166,Yes,
19,58,8dee26e3-65d2-4d6a-a734-b7b842fcd551,2022-12-24T11:25:37.000Z,2022-12-24T13:02:08.000Z,US-35 / OH-138,US-35,Westbound,97,1.409,0.152,19.65,39.44737,-83.21074,39.57114844,-83.52550977,Yes,
20,101,c162faf0-d53f-4f05-a371-7f29649f90c1,2022-12-24T11:56:31.000Z,2022-12-24T12:00:24.000Z,"I-70  Exits 100A,100B / Fulton St / US-33 3rd St",I-70,Eastbound,4,0.123,0.439,18.75,39.9529901,-82.99834906,39.947963,-82.67069761,Yes,
21,38,695e5a03-4d11-41e4-b7cf-a37604bcb5b8,2022-12-24T12:26:42.000Z,2022-12-24T12:51:02.000Z,I-70  Exit 97 / US-40 Broad St,I-70  Exit 112C / Taylor Rd,Eastbound,24,0.431,0.248,15.06,39.95538245,-83.04348705,39.93440747,-82.78560417,Yes,
22,52,db972af6-8ba5-41c0-adad-3ecd784ea4cb,2022-12-24T22:34:25.000Z,2022-12-25T00:07:17.000Z,"I-71  Exits 109A,109B,110A / I-670  Exits 4A,4A-B,4B,4C,5,5A-5B / Goodale St",I-71,Northbound,93,0.538,0.193,21.6,39.97053001,-82.9836,40.26654025,-82.92718997,Yes,
23,52,b02a1689-0976-4ef6-bec7-f91fa47ec616,2022-12-24T16:10:09.000Z,2022-12-24T16:18:04.000Z,"I-70  Exits 101A,101B / I-71  Exits 107,108A / Parsons Ave",I-71,Northbound,8,0.103,0.633,18.73,39.95390006,-82.99169961,40.20285128,-82.93209195,Yes,
24,242,22f27972-0e11-4be8-966c-c54f69461980,2022-12-24T05:20:49.000Z,2022-12-24T05:51:40.000Z,I-71,I-71,Southbound,31,0.628,0.414,30.8,39.78925681,-83.23920773,39.55296996,-83.73046011,Yes,
25,50,3f702a71-dfe1-4e5f-b25a-6f1f35760148,2022-12-24T04:18:53.000Z,2022-12-24T04:28:08.000Z,I-70,I-70,Westbound,9,0.991,0.431,32.43,39.83896968,-84.44302187,39.85964,-85.02872002,Yes,
26,2126,875a2f34-5b87-417c-814e-f5d33a4aee2b,2022-12-24T12:03:50.000Z,2022-12-24T14:55:12.000Z,I-70  Exit 118 / OH-310 Hazelton Etna Rd,I-70  Exit 102 / Cole St,Westbound,171,0.315,0.156,15.46,39.94886264,-82.68315326,39.95324832,-82.95066618,Yes,
27,52,76371d0d-7e12-46ad-a046-6fff96a66ecb,2022-12-24T17:26:08.000Z,2022-12-24T17:32:54.000Z,"I-70  Exits 101A,101B / I-71  Exits 107,108A / Parsons Ave",I-71,Northbound,7,0,0.267,20.48,39.95407,-82.98988,40.22984008,-82.92864999,Yes,
28,58,a80cfa0a-40e4-48f4-a27f-089745ccf96f,2022-12-24T09:37:36.000Z,2022-12-24T10:48:45.000Z,US-35,US-35,Westbound,71,0.76,0.933,17.33,39.58728065,-83.54707831,39.68038765,-83.8266912,Yes,
29,5134,3a5cb607-d3fc-47c4-9cee-a1b9fbca94f4,2022-12-24T04:23:18.000Z,2022-12-24T04:28:08.000Z,I-70,I-70  Exit 145 / Centerville Rd,Westbound,5,0.956,0.342,32.54,39.85687133,-84.398433,39.85988397,-84.97991752,No,290
30,52,e59cf85e-acaa-4e8a-93a1-0f665cb3dfb3,2022-12-25T01:19:04.000Z,2022-12-25T01:46:52.000Z,"I-70  Exits 101A,101B / I-71  Exits 107,108A / Parsons Ave",I-71,Northbound,28,0.178,0,16.71,39.95419591,-82.98695669,40.18124621,-82.94971458,Yes,
31,101,641b2b74-2d69-4311-ba7d-55daac0888f4,2022-12-24T15:01:26.000Z,2022-12-24T15:44:11.000Z,"I-70  Exits 101A,101B / I-71  Exits 107,108A / Parsons Ave",I-70,Eastbound,43,0.592,0.175,23.61,39.95384,-82.97157,39.9428827,-82.55112996,Yes,
32,52,36bbd783-8754-4413-ba11-c1486a56bb2a,2022-12-24T07:12:18.000Z,2022-12-24T07:44:09.000Z,I-71  Exit 110B / 11th Ave / Kingry St,I-71,Northbound,32,0,0.897,17.92,39.99601,-82.9848,40.23832476,-82.9282609,Yes,
33,50,287ab1e5-965c-46b5-a98a-2e79367dfe78,2022-12-24T04:36:55.000Z,2022-12-24T04:47:39.000Z,I-70,I-70,Westbound,11,0.46,0.153,32.55,39.83817297,-84.4731516,39.85469947,-85.06140026,Yes,
34,50,61ad9b19-cb87-4d33-af40-039ba16a8429,2022-12-24T04:28:53.000Z,2022-12-24T04:29:54.000Z,I-70  Exit 24 / OH-49 Dayton Greenville Pike,I-70,Westbound,1,0.698,0.826,32.95,39.85550508,-84.37850785,39.86115805,-84.9671029,Yes,
35,101,dbcdb2c9-6b22-49a8-9869-5f5e5a967145,2022-12-24T13:19:27.000Z,2022-12-24T13:54:07.000Z,"I-70  Exits 101A,101B / I-71  Exits 107,108A / Parsons Ave",I-70,Eastbound,35,0.103,0.059,22.43,39.95390006,-82.99169961,39.94459,-82.59366957,Yes,
36,101,082618bd-6bd6-4a0f-9f5c-dd07db79cede,2022-12-24T12:32:14.000Z,2022-12-24T12:35:09.000Z,"I-70  Exits 101A,101B / I-71  Exits 107,108A / Parsons Ave",I-70,Eastbound,3,0.059,0.318,20.34,39.9541433,-82.98904763,39.94610134,-82.63008255,Yes,
37,101,0e694002-fa83-4a25-9be7-0ee28eeb0604,2022-12-24T14:21:59.000Z,2022-12-24T14:28:21.000Z,"I-70  Exits 101A,101B / I-71  Exits 107,108A / Parsons Ave",I-70,Eastbound,6,0,0,22.27,39.95407,-82.98988,39.94464,-82.59479,Yes,
38,52,961a7e79-c5ab-4d5e-b20e-9ae46a7240e6,2022-12-24T14:57:30.000Z,2022-12-24T15:58:11.000Z,"I-70  Exits 101A,101B / I-71  Exits 107,108A / Parsons Ave",I-71,Northbound,61,0.103,0.425,15.18,39.95390006,-82.99169961,40.15977896,-82.96776442,Yes,
39,162,636c3a88-c6cf-4add-b760-480f0a101bc1,2022-12-24T06:06:17.000Z,2022-12-24T06:59:05.000Z,I-71,I-71,Southbound,53,1.016,1.089,12.89,40.52519591,-82.67901138,40.38592993,-82.82409001,Yes,
