,BottleneckSummaryIndex,Id,StartDate,EndDate,FromIntersectionName,ToIntersectionName,Direction,MaxDurationMinutes,StartSegmentOffsetMiles,EndSegmentOffsetMiles,MaxLengthMiles,FromPointLat,FromPointLon,ToPointLat,ToPointLon,label
0,71,bd41a11e-8c31-469b-ab8e-79eedb15ff5d,2023-01-27T04:18:54.000Z,2023-01-27T05:29:26.000Z,US-127 / Union Pleasant Rd,US-127 Perry St / Alta's Place Mhp,Northbound,71,0.322,1.107,15.34,40.903928202321296,-84.57199764,41.12629535694717,-84.57366031,Yes
1,433,f20bd5dc-000d-42c2-954e-2dc8e561a0e4,2023-01-27T03:13:56.000Z,2023-01-27T03:47:16.000Z,US-127 Perry St / Wayne St,US-127 / Fife Rd,Southbound,33,0,0,14.09,41.13542,-84.5753,40.93175002,-84.57218,Yes
2,369,c8d00b2b-8912-4ebb-ab44-7dd3fb8d933d,2023-01-26T19:12:49.000Z,2023-01-26T19:27:45.000Z,US-127 / Road 114,US-127 / US-224 / CR-13 Marsh Rd,Southbound,15,0.848,0,14.38,41.11059695718811,-84.57353931,40.90044270276916,-84.57199,Yes
3,298,ca6f6957-d422-4e67-af39-3b82ce762e22,2023-01-27T01:09:31.000Z,2023-01-27T01:51:45.000Z,Lincoln Hwy / OH-115 West St,US-224 North St / US-224 Ottawa St / OH-115 North St,Northbound,42,0.742,0,11.32,40.83139497,-84.13778151,40.98093,-84.19726,Yes
4,46,ad5c9381-df70-4979-9a68-3576c81c1a7a,2023-01-26T21:45:08.000Z,2023-01-26T21:45:43.000Z,"I-75  Exits 2,2B / Winchell Ave / Western Hills Viad",I-71  Exit 189 / KY-1072 Kyles Ln / KY-1072,Southbound,1,0.47,0.301,4.45,39.12671,-84.53492,39.067949141896605,-84.52052826,Yes
5,350,286ef829-152c-4635-a11b-5621a7a3206a,2023-01-27T04:20:31.000Z,2023-01-27T04:57:07.000Z,OH-15 / Road,OH-15 / OH-15 Ottawa Ave / CR-28 Carter Rd,Westbound,37,0.67,0,12.72,41.112574585161695,-84.21815941,41.25026820672693,-84.34445884,Yes
6,46,b937b5fb-a2b2-4c1b-a011-d01c2820b4e4,2023-01-26T20:56:55.000Z,2023-01-26T21:11:58.000Z,"I-75  Exits 2,2B / Winchell Ave / Western Hills Viad",I-71  Exit 189 / KY-1072 Kyles Ln / KY-1072,Southbound,15,0,0.07,3.95,39.12288,-84.53559,39.07036800185924,-84.51980993,Yes
7,46,9d3ee380-4e62-43e5-9d1d-e7c7f4ed0f73,2023-01-26T21:25:19.000Z,2023-01-26T21:56:56.000Z,"I-75  Exits 2,2B / Winchell Ave / Western Hills Viad",I-71  Exit 189 / KY-1072 Kyles Ln / KY-1072,Southbound,32,0.16,0.446,4.43,39.12444923258278,-84.53549006,39.06504967790652,-84.5215402,Yes
8,201,254d54a1-d81a-480d-a2d8-885d375a09ef,2023-01-27T02:22:13.000Z,2023-01-27T02:52:06.000Z,US-127 / Road 114,US-127 / Union Pleasant Rd,Southbound,30,0.679,0.675,14.06,41.11282319016327,-84.57356422,40.90748638774687,-84.57201902,Yes
9,46,feaa6d3e-48f7-4071-94be-b9699bfc0f88,2023-01-26T21:11:58.000Z,2023-01-26T21:14:01.000Z,I-75  Exit 2A / Western Ave / Findlay St,I-71  Exit 189 / KY-1072 Kyles Ln / KY-1072,Southbound,2,0.22,0.07,3.73,39.1197,-84.53553,39.07036800185924,-84.51980993,Yes
10,46,0c5dca87-ff32-4647-b308-d620bc0a84e6,2023-01-26T19:43:15.000Z,2023-01-26T20:56:55.000Z,I-75  Exit 2A / Western Ave / Findlay St,I-71  Exit 189 / KY-1072 Kyles Ln / KY-1072,Southbound,74,0.22,0.138,2.64,39.1197,-84.53553,39.08528989756879,-84.52292,Yes
11,26,f86d5253-83ad-46b1-833d-7fac3af0aa94,2023-01-27T01:13:38.000Z,2023-01-27T01:58:39.000Z,US-127 / US-224 / CR-13 Marsh Rd,US-127 / Road 38,Northbound,45,1.114,0.503,8.7,40.90044,-84.57199,41.02469069629379,-84.5728011,Yes
12,330,3cfe0a24-fdff-4b9d-9b08-6b407c0becc7,2023-01-26T12:52:14.000Z,2023-01-26T14:38:23.000Z,I-71,I-71  Exit 12 / US-22 Montgomery Rd,Southbound,106,0.595,0.894,7.96,39.30540734703128,-84.30098313,39.211536258206735,-84.37061935,Yes
13,98,0d395910-8996-4bfd-9f2c-d76afd2ee4ec,2023-01-27T01:17:45.000Z,2023-01-27T02:33:54.000Z,US-127 / OH-707,US-127 Washington St / OH-116 Hospital Dr / CR-122 Fox Rd,Northbound,76,1.008,0.201,12.57,40.66971,-84.58041,40.85137648730095,-84.58144368,Yes
14,166,9da1486f-45d3-459e-8f1a-2b6cc6fafb6b,2023-01-27T02:12:28.000Z,2023-01-27T02:52:06.000Z,OH-109 Locust St / Putnam Pkwy / Wellington Pl,OH-109 / County Road Y,Northbound,40,0.541,0.142,10.85,41.03930993,-84.04427154,41.18759005015034,-84.03562632,Yes
15,242,640f8606-6191-4b8e-bc28-ae04e7688148,2023-01-26T12:53:25.000Z,2023-01-26T13:30:28.000Z,I-71  Exit 116 / Morse Rd / Sinclair Rd,I-71  Exit 110B / 11th Ave / Kingry St,Southbound,37,0.121,0,4.93,40.06431702505404,-82.99668572,39.99680476815755,-82.98489852,Yes
16,74,8c741ba7-4236-4771-b8bd-ab8697d81679,2023-01-26T23:29:48.000Z,2023-01-27T00:01:39.000Z,OH-18 Deshler Rd / Hough Rd,OH-18 / OH-18 Deshler Rd / County Road 1,Westbound,32,0.293,0.3,10.64,41.17904929316293,-83.70145043,41.204315152982254,-83.87589063,Yes
17,49,fbf36519-54ad-4512-b5b5-59ec4e501080,2023-01-26T23:54:43.000Z,2023-01-27T00:17:05.000Z,US-127 / Edgewood Dr,US-127 / Sites Rd,Southbound,22,0.242,0.125,11.72,40.81909310617674,-84.581152,40.64989250423868,-84.58038,Yes
18,49,3c09a98c-f3c3-4833-ad7f-9869d6a23924,2023-01-27T00:07:01.000Z,2023-01-27T00:32:51.000Z,US-127,US-127 / Sites Rd,Southbound,26,0,0.572,12.41,40.8226,-84.58118,40.64469624060825,-84.58038,Yes
19,55,aec967c5-2426-4f49-8f9a-754b2120e3f8,2023-01-26T20:55:17.000Z,2023-01-26T22:40:16.000Z,I-90 / OH-2,I-90  Exit 171 / 14th St / Fairfield Ave,Westbound,105,0.23,0.292,2.66,41.51820995983378,-81.67495006,41.48879748453879,-81.68975098,Yes
20,49,1f791fd8-4571-4181-9581-519a616049df,2023-01-27T02:22:13.000Z,2023-01-27T03:15:55.000Z,US-127 / CR-70 Wren Landeck Rd,US-127 / Sites Rd,Southbound,54,0.151,0.74,10.31,40.78977867388797,-84.58114,40.64241647,-84.58038,Yes
21,153,ecb4a10c-9017-46b0-8a4a-0335726ce632,2023-01-26T23:53:43.000Z,2023-01-27T00:47:05.000Z,OH-568 / Township Road 237,OH-568 Findlay St / OH-568 / Ch 96,Eastbound,53,0.824,0,10.87,41.03624754948483,-83.57455741,40.958,-83.40113001,Yes
22,369,74d8f88c-c462-43b0-a150-b961f26dfbe2,2023-01-26T20:35:22.000Z,2023-01-26T23:53:21.000Z,US-127 / Road 72,US-127 / US-224 / CR-13 Marsh Rd,Southbound,198,0.742,0,10.37,41.05200780069403,-84.57291702,40.90044270276916,-84.57199,Yes
