,BottleneckSummaryIndex,Id,StartDate,EndDate,FromIntersectionName,ToIntersectionName,Direction,MaxDurationMinutes,StartSegmentOffsetMiles,EndSegmentOffsetMiles,MaxLengthMiles,FromPointLat,FromPointLon,ToPointLat,ToPointLon,label
0,82,efeb1cc4-bd06-432f-a444-ffe0c7bf9dcf,2024-02-29T20:54:30.000Z,2024-02-29T20:55:23.000Z,"I-75  Exits 2,2B / Winchell Ave / Western Hills Viad",I-71  Exit 182 / KY-717 Thoroughbred Blvd,Southbound,1,0.16,0.175,11.13,39.12444923258278,-84.53549006,39.017169726106445,-84.62421044,Yes
1,118,459e87aa-a4de-42f7-a7f9-dff609e92f96,2024-02-29T11:27:43.000Z,2024-02-29T15:08:55.000Z,I-90  Exit 164 / Marginal Dr / Mckinley Ave,I-90  Exit 173A / Prospect Ave,Eastbound,221,0.096,0,8.9,41.47150536,-81.81980563,41.49858,-81.67291,Yes
2,1,b06a1c71-4361-4f5a-b96e-ce281f4ae5b3,2024-02-29T12:52:47.000Z,2024-02-29T13:45:55.000Z,I-77  Exit 151 / Wallings Rd / Mill Rd,"I-90  Exits 171,172A,172C / I-77  Exit 162B / OH-10 Carnegie Ave",Northbound,53,0.379,0.244,10.85,41.34522981864724,-81.64967959,41.49243774604962,-81.67557357,Yes
3,81,b64d459b-210a-4587-81e2-6150611b41d5,2024-02-29T11:59:46.000Z,2024-02-29T12:37:44.000Z,I-271  Exit 21 / I-480  Exit 22,I-480,Westbound,38,1.233,0.164,12.29,41.35707,-81.51327,41.40952083071328,-81.65864508,Yes
4,169,7f1d2159-6934-4e05-b7f4-d9e4b4b73724,2024-02-29T20:30:26.000Z,2024-02-29T23:35:24.000Z,"I-75  Exits 3,4 / I-74 / US-52 Hopple St",I-71  Exit 188 / US-127 Dixie Hwy,Southbound,185,0.195,0.141,5.94,39.13322,-84.53272,39.059873792866725,-84.53576083,Yes
5,81,917a761d-4ede-4ac9-a14b-fad3070a5926,2024-02-29T12:36:48.000Z,2024-02-29T12:37:44.000Z,I-480,I-480,Westbound,1,1.074,0.315,11.65,41.354164641894926,-81.51218299,41.40719,-81.64409006,No
6,1,5cea7db7-42ab-44ef-8328-27a049fe5726,2024-02-29T13:45:55.000Z,2024-02-29T13:54:53.000Z,I-77  Exit 153 / Pleasant Valley Rd / Forestwood Dr,"I-90  Exits 171,172A,172C / I-77  Exit 162B / OH-10 Carnegie Ave",Northbound,9,0.305,0.244,7.93,41.38705239639564,-81.6527603,41.49243774604962,-81.67557357,Yes
7,45,26709c49-2f3c-4e7d-8982-21c229e3dc18,2024-02-29T12:37:44.000Z,2024-02-29T12:39:47.000Z,US-422,I-271,Westbound,2,0.478,0.13,9.26,41.38853350734453,-81.37299194,41.45187061349627,-81.49076991,Yes
8,120,ac1fcdd0-2d2a-4e00-a311-9ff5121eb5c1,2024-02-29T11:44:42.000Z,2024-02-29T14:42:47.000Z,I-480  Exit 16 / OH-94 State Rd,"I-271  Exits 27A-B,27B / I-480  Exit 13A / US-422  Exit 13B",Eastbound,178,0.35,0.246,11.24,41.42132978088198,-81.71164037,41.42891960975836,-81.50678066,Yes
9,125,21749844-6eba-4aed-832e-16b26655fcd3,2024-02-29T12:47:50.000Z,2024-02-29T14:05:53.000Z,I-480,"I-480  Exit 20A-B / I-77  Exits 155,156 / Rockside Rd",Westbound,78,0.455,1.188,11.95,41.34789019297107,-81.50561036,41.40807637449608,-81.63746054,Yes
10,1,f9eab83d-be66-4042-96f5-67c0721f8654,2024-02-29T13:59:57.000Z,2024-02-29T14:27:51.000Z,"I-480  Exit 20A-B / I-77  Exits 155,156 / Rockside Rd","I-90  Exits 171,172A,172C / I-77  Exit 162B / OH-10 Carnegie Ave",Northbound,28,0.475,0.244,6.28,41.40960935321007,-81.64526225,41.49243774604962,-81.67557357,Yes
11,7,e75bb154-928c-4b05-9a1e-5d166e13cbb9,2024-02-29T20:16:18.000Z,2024-02-29T20:30:26.000Z,"I-75  Exits 2,2B / Winchell Ave / Western Hills Viad",I-71  Exit 189 / KY-1072 Kyles Ln / KY-1072,Southbound,14,0.47,0.88,5.02,39.12671,-84.53492,39.06119198887707,-84.52695115,Yes
12,154,e3c3ad20-9cbb-4fc0-84bb-f50dca0e5441,2024-02-29T20:53:31.000Z,2024-02-29T23:26:16.000Z,"I-270  Exits 35,35A,35B / I-670  Exits 10A-B,10C,10D / US-62","I-670  Exits 2A,2B,3 / OH-315  Exits 1C,1D,1E,1F,2 / Goodale St",Westbound,153,0.205,0.211,5.9,40.00674042179426,-82.91417648,39.973286564519086,-83.00606268,Yes
13,48,d90103ad-2e2b-4d5e-a969-14b621c97c3e,2024-02-29T21:22:20.000Z,2024-02-29T22:23:23.000Z,I-71  Exit 6 / Edmondson Rd / Smith Rd,I-71  Exit 15 / Pfeiffer Rd,Northbound,61,0.109,0.172,7.56,39.14964011937894,-84.44612571,39.22706827219064,-84.36661091,Yes
14,156,62053ff0-6d0b-48a2-916f-d4931626762b,2024-02-29T12:08:47.000Z,2024-02-29T12:23:50.000Z,US-422,I-271  Exit 29 / US-422 Chagrin Blvd / OH-87 Chagrin Blvd,Westbound,15,0.32,0,6.72,41.39475497394193,-81.42846211,41.45775298328469,-81.49051,Yes
15,184,e88f28e1-eb33-45a3-9dcb-952476484957,2024-02-29T13:04:50.000Z,2024-02-29T13:32:49.000Z,US-422,I-271  Exit 28A / OH-175 Richmond Rd,Westbound,28,0.159,0.061,8.54,41.38931472,-81.36683762,41.43780127045174,-81.49719888,Yes
16,182,f3450ac5-fb33-4b00-9440-0343203209a1,2024-02-29T11:42:44.000Z,2024-02-29T11:46:44.000Z,I-77  Exit 151 / Wallings Rd / Mill Rd,I-77  Exit 160 / Pershing Ave,Northbound,4,0.453,0.673,8.06,41.35498020436841,-81.64930999,41.46741172730842,-81.65861586,Yes
17,163,64a2b7e7-b2b4-4391-bd56-76d99edb13f8,2024-02-29T13:28:54.000Z,2024-02-29T14:19:54.000Z,I-271,I-271  Exit 28A / OH-175 Richmond Rd,Northbound,51,0.777,0.295,10.47,41.29591097200507,-81.52084335,41.43996603921432,-81.49555804,Yes
18,34,55eb2d3c-19c6-45ed-91b7-32dd0a02583f,2024-02-29T20:31:26.000Z,2024-02-29T21:35:27.000Z,I-75  Exit 57 / Wagner Ford Rd,I-75  Exit 50B / OH-741 Springboro Rd / Springboro Rd,Southbound,64,0.145,0.04,4.93,39.79460929142042,-84.18812943,39.730570249034976,-84.20629988,Yes
19,119,37c28389-d757-4fbd-a804-0845ee04896a,2024-02-29T21:49:21.000Z,2024-02-29T22:55:29.000Z,I-71 / US-22 Montgomery Rd / Brewster Ave,I-71  Exit 189 / KY-1072 Kyles Ln / KY-1072,Southbound,66,0.32,0.88,6.77,39.13915500594178,-84.48591045,39.06119198887707,-84.52695115,Yes
20,94,cb2f7597-4eee-43ff-a1a4-afdd3e7fbb63,2024-02-29T09:05:36.000Z,2024-02-29T10:16:41.000Z,I-90,I-90,Eastbound,71,1.025,0.476,10.15,41.63735302671974,-81.3808218,41.69228132406364,-81.20245778,Yes
21,10,bdf5581e-657b-4e09-ae19-7c4c7526c40d,2024-02-29T23:29:22.000Z,2024-02-29T23:58:25.000Z,"I-75  Exits 3,4 / I-74 / US-52 Hopple St","I-71  Exits 191,192 / KY-8 5th St / Bullock St",Southbound,29,0.237,0.215,3.39,39.13890003275932,-84.53447847,39.09423627007038,-84.52241694,Yes
22,83,44517fbc-c0df-4f44-9b26-5fdefd4a7b80,2024-02-29T14:42:25.000Z,2024-02-29T14:44:30.000Z,"I-75  Exits 3,4 / I-74 / US-52 Hopple St",I-75  Exit 13 / Shepherd Ln / Shepherd Ave,Northbound,2,1.104,0.841,6.68,39.161580955095545,-84.52112706,39.22942439202994,-84.44985171,Yes
23,8,cae4dc33-5dd7-4884-9ee3-92dcc462155e,2024-02-29T20:52:51.000Z,2024-02-29T22:26:54.000Z,"I-90  Exits 171,172A,172C / I-77  Exit 162B / OH-10 Carnegie Ave","I-90  Exits 176,177 / 72nd St / Marginal Rd",Eastbound,94,0.134,0.327,3.69,41.493820140112085,-81.68385971,41.53106168,-81.65013712,Yes
