,BottleneckSummaryIndex,Id,StartDate,EndDate,FromIntersectionName,ToIntersectionName,Direction,MaxDurationMinutes,StartSegmentOffsetMiles,EndSegmentOffsetMiles,MaxLengthMiles,FromPointLat,FromPointLon,ToPointLat,ToPointLon,label,OverlapSecond
2866,220,f626307b-9547-459b-8b66-91424f219780,2022-01-17T12:13:33.000Z,2022-01-17T12:15:52.000Z,US-35 / CR-71 Lloyds Bridge Rd,US-35,Eastbound,2,0.59,0,6.51,39.10166228,-82.6703578,39.03152001,-82.59514001,Yes,
2867,3576,e8b8f22c-c302-4ded-a634-0fad6007a722,2022-01-17T06:30:35.000Z,2022-01-17T06:41:42.000Z,US-23,US-23 / De Bord Rd,Southbound,11,0.44,0.563,9.13,39.34475106,-82.95484738,39.22580905,-82.98287,No,667
2868,1585,33fda4e8-5b9c-40bf-85bd-7933a90a9f8e,2022-01-17T07:23:47.000Z,2022-01-17T07:47:55.000Z,OH-7 / Nessley St / OH-152,OH-7 / US-22,Southbound,24,0.449,0.554,7.92,40.48672128,-80.60953577,40.38679943,-80.63460139,Yes,
2869,220,b1c86456-27aa-46ae-947a-66ad7fe969cd,2022-01-17T03:56:46.000Z,2022-01-17T04:24:32.000Z,US-35 / US-35-BR,US-35,Eastbound,28,0.422,0.216,7.34,39.69129,-83.97636,39.69038699,-83.87464257,Yes,
2870,3,5b56fafe-e23d-46ab-bcff-0436acff5c7f,2022-01-17T06:02:52.000Z,2022-01-17T06:14:50.000Z,I-90  Exit 205 / CR-227 Vrooman Rd / Vrooman Rd,I-90,Eastbound,12,0.067,0.299,9.35,41.70667037,-81.17867939,41.76263045,-81.01900171,Yes,
2871,212,d87bb4e7-b0e8-4a68-b032-6a6f7494f034,2022-01-17T05:06:25.000Z,2022-01-17T05:18:36.000Z,I-71,I-71,Northbound,12,0.159,0.078,12.34,40.5499309,-82.65272627,40.69093853,-82.51732375,No,731
2872,216,3ec9110d-0fc0-455b-9226-33f178bee6e8,2022-01-17T12:18:40.000Z,2022-01-17T12:20:52.000Z,US-33  Exit 182 / John Lloyd Evans Dr / Simonton Rd,US-33,Westbound,2,0,0.643,10.99,39.47233,-82.24967,39.53415824,-82.42465482,No,132
2873,1319,a941d234-1b07-4bd6-87c9-8fb84e39c345,2022-01-17T10:22:35.000Z,2022-01-17T10:53:38.000Z,US-62 Columbus St,OH-207 / CR-35 Washington-Waterloo Rd,Southbound,31,0.031,0.428,7.05,39.71894956,-83.26562066,39.62128809,-83.26338759,Yes,
2874,543,48e2a081-3bfa-4631-869d-10cb2d42592a,2022-01-17T12:22:06.000Z,2022-01-17T12:46:02.000Z,I-90 / I-271,I-271,Southbound,24,0,0.829,10.95,41.60882,-81.42898,41.47255998,-81.48884392,Yes,
2875,1378,2709b9e0-d00d-4fd9-8622-48e38baed04c,2022-01-17T11:48:04.000Z,2022-01-17T12:23:05.000Z,OH-16,OH-16 / CR-6,Eastbound,35,0.271,0.308,10.99,40.15474,-82.01262,40.24023449,-81.87583849,Yes,
