,BottleneckSummaryIndex,Id,StartDate,EndDate,FromIntersectionName,ToIntersectionName,Direction,MaxDurationMinutes,StartSegmentOffsetMiles,EndSegmentOffsetMiles,MaxLengthMiles,FromPointLat,FromPointLon,ToPointLat,ToPointLon,label
198,40,834a04b7-406c-4ae5-8782-8f46d7af13c1,2023-03-15T18:12:42.000Z,2023-03-15T18:15:17.000Z,I-70,I-70,Westbound,3,0.323,0.475,1.35,39.969048217873166,-81.89013248,39.963089923662935,-81.91455022,Yes
199,30,a086ab47-c356-4008-80ea-04c170b8e811,2023-03-15T20:17:07.000Z,2023-03-15T20:24:36.000Z,US-40 National Rd,US-40 Main St,Westbound,7,0.612,0.842,2.28,40.074578938180345,-80.86335513,40.08000591397429,-80.90304976,Yes
200,38,af641bb1-d1d8-44cc-a766-5253a8dce181,2023-03-15T19:50:58.000Z,2023-03-15T20:07:11.000Z,I-470  Exit 1 / I-70  Exit 219 / Banfield Rd,I-70  Exit 216 / OH-9 Marietta St / OH-9 Warnock St Clairsville Rd,Westbound,16,0.247,0.845,1.83,40.07009001368149,-80.85607008,40.068849006029616,-80.88809497,Yes
201,38,11cbd935-ce42-4a58-ae2b-e47c2e58f93a,2023-03-15T18:12:42.000Z,2023-03-15T18:34:14.000Z,I-470  Exit 1 / I-70  Exit 219 / Banfield Rd,I-70  Exit 216 / OH-9 Marietta St / OH-9 Warnock St Clairsville Rd,Westbound,22,0.052,0.994,2.17,40.06964000271292,-80.85243003,40.06807919776219,-80.89191481,Yes
202,1,3c69450d-59f4-4ab1-b857-c6c1af9be461,2023-03-15T21:25:58.000Z,2023-03-15T21:27:36.000Z,I-71  Exit 5 / Dana Ave / Duck Creek Rd,"I-71  Exits 7,8A,8B / OH-562 / Ridge Ave",Northbound,2,0,0.197,1.11,39.14687,-84.45319,39.15756844940026,-84.43897419,Yes
203,58,14c5a92e-23ce-41b8-b59e-3d3b82727cfe,2023-03-15T20:24:35.000Z,2023-03-15T20:26:05.000Z,I-77  Exit 120 / CR-15 Arlington Rd / Chenoweth Rd,"I-77  Exits 122A,122B / I-277  Exits 4A,4B / US-224  Exit 4B",Northbound,2,0.211,0.758,2.04,40.98978594455995,-81.4934098,41.01934071337379,-81.49662016,Yes
204,99,ae59b1a1-6690-412b-954f-0ace14c28b76,2023-03-15T22:12:48.000Z,2023-03-15T22:14:11.000Z,I-71  Exit 11 / Kenwood Rd,"OH-126 Ronald Reagan Cross County Hwy Exits 32B,32C / I-71  Exit 14",Northbound,1,0,0.906,2.08,39.19306,-84.38555,39.21701108063452,-84.36923765,No
205,93,03f347ab-a2a3-4ab2-b209-b99f3d9f7d48,2023-03-15T15:09:19.000Z,2023-03-15T15:22:16.000Z,I-675  Exit 20 / Dayton Yellow Springs Rd,I-675,Southbound,13,0,0.301,1.78,39.78241,-84.00477,39.77654680753073,-84.03491814,Yes
206,95,5f47d1fd-31e9-450f-bc17-0ad104639597,2023-03-15T14:47:00.000Z,2023-03-15T14:50:15.000Z,I-75,I-75  Exit 120 / Breese Rd,Northbound,3,0.122,0.167,2.01,40.64546130740323,-84.13111626,40.674280070429376,-84.13108267,Yes
207,32,97167f48-6638-4d4a-90e3-48a809094877,2023-03-15T13:54:17.000Z,2023-03-15T13:57:13.000Z,I-75  Exit 13 / Shepherd Ln / Shepherd Ave,"I-75  Exits 10,10A,10B / OH-126 Ronald Reagan Cross County Hwy Exits 27,27A,27B / Galbraith Rd",Southbound,3,0.26,0.22,1.08,39.23713231,-84.45122774,39.22309575958562,-84.45518424,No
208,16,8c748b94-a7a1-4189-bdbd-a394c7e028f7,2023-03-15T21:34:11.000Z,2023-03-15T21:36:16.000Z,I-275,I-275  Exit 69 / Five Mile Rd,Northbound,2,0,0.365,1.35,39.05914,-84.41535,39.05495003742005,-84.3914699,Yes
209,48,82164a5d-74b9-4024-99ae-1b710e24d17a,2023-03-15T11:09:13.000Z,2023-03-15T11:39:17.000Z,Hudson Dr / Notre Dame Ave,Allen Rd / Steels Corners Rd / Hudson Dr,Northbound,30,0.144,1.039,1.98,41.15414004620655,-81.47507002,41.181430647142726,-81.4734,Yes
210,55,03e29c2a-56ba-4ac6-8240-4dfd4753b001,2023-03-15T11:05:51.000Z,2023-03-15T11:07:22.000Z,OH-161  Exit 107 / Avery Rd / Avery-Muirfield Dr,US-33,Westbound,2,0.584,0.122,0.77,40.09996561754557,-83.16978757,40.10820020549451,-83.1788101,Yes
211,134,65ea6629-2960-4f7b-8b10-93e98b2fe67f,2023-03-15T12:06:28.000Z,2023-03-15T12:10:57.000Z,"I-480  Exits 6,6A,6B / OH-252 Great Northern Blvd / Nombl Ln",I-480  Exit 9 / Grayton Rd / OH-17 Brookpark Rd,Eastbound,4,0.889,0.69,1.24,41.41918701673138,-81.88306509,41.42460887565943,-81.86086126,Yes
212,131,23367e0f-a95c-4ba7-972d-b966de994159,2023-03-15T20:03:01.000Z,2023-03-15T20:07:33.000Z,I-75  Exit 19 / Union Centre Blvd,I-75,Southbound,5,0.613,0.794,1.17,39.31924115367906,-84.42765989,39.30456512061931,-84.43819196,Yes
213,131,3fb28793-f362-4191-acd4-bb83f8dc953e,2023-03-15T11:38:05.000Z,2023-03-15T11:42:26.000Z,I-75,I-75,Southbound,4,1.082,0.993,1.38,39.33010996164883,-84.41632004,39.31493324996271,-84.43192452,Yes
214,52,cc6013ac-ea2b-4b27-a896-db1c7eade023,2023-03-15T21:22:02.000Z,2023-03-15T21:24:17.000Z,Hickory Trail Ln / Kenwood Rd,Kenwood Rd / Aldine Dr / Malsbary Rd,Southbound,2,0.178,0.135,1,39.25251971,-84.37493003,39.23843150807794,-84.37630895,Yes
215,107,d5a5092d-795e-4c38-b40c-bad1a7c927c9,2023-03-16T01:24:16.000Z,2023-03-16T01:24:47.000Z,Anderson Rd / Waynesville Jamestown Rd,US-68 / Waynesville Jamestown Rd,Eastbound,1,0.311,0.909,1.65,39.60135140105011,-83.9315789,39.60983938589996,-83.90317613,Yes
216,1,8d4cd099-69fb-4f5f-b008-29b78d824de4,2023-03-15T20:02:25.000Z,2023-03-15T20:03:01.000Z,I-71  Exit 6 / Edmondson Rd / Smith Rd,"I-71  Exits 7,8A,8B / OH-562 / Ridge Ave",Northbound,1,0.109,0.315,0.79,39.14964011937894,-84.44612571,39.15925018002262,-84.43774988,Yes
217,112,179a4e82-c222-4ad5-8158-fd4c65fb5ef1,2023-03-15T12:56:25.000Z,2023-03-15T13:10:55.000Z,Sawmill Rd / Sawmill Forest Ave,I-270  Exit 20 / CR-70 Sawmill Rd / Sawmill Rd,Southbound,15,0.385,0.098,1.15,40.12607983020437,-83.08998,40.10969707076496,-83.09087753,Yes
218,125,8c9a36d0-0d86-4542-b817-979bd383b5f8,2023-03-15T22:17:43.000Z,2023-03-15T22:31:15.000Z,I-271 / I-480,"I-271  Exits 27A-B,27B / I-480  Exit 13A / US-422  Exit 13B",Northbound,14,0.296,0.779,1.32,41.40390117173477,-81.50660315,41.42268873387201,-81.50876756,Yes
219,98,6dd606f2-6102-4f8f-91db-fd29e6155a86,2023-03-15T21:38:04.000Z,2023-03-15T21:39:42.000Z,I-75  Exit 59 / Benchwood Rd,I-75  Exit 58 / Needmore Rd,Southbound,2,0,0.281,0.95,39.84612,-84.18994,39.83236730473424,-84.18957407,Yes
220,97,eb107e99-ecd8-413b-8801-5b26a9a01ed0,2023-03-15T20:23:26.000Z,2023-03-15T20:24:36.000Z,US-40 National Rd / Maplewood Dr,US-40 Lawn Rd / Newlin Rd,Westbound,1,0.705,0.281,0.58,40.07620208448376,-80.86559398,40.07867592720629,-80.87494444,No
221,122,e510501d-60ac-47af-b3c0-2e6f22495822,2023-03-15T12:00:11.000Z,2023-03-15T12:09:53.000Z,OH-126 Ronald Reagan Cross County Hwy Exit 22 / US-127 Hamilton Ave,Ronald Reagan Cross County Hwy Exit 20 / OH-126 Ronald Reagan Cross County Hwy Exit 20 / US-27 Colerain Ave,Westbound,10,0.856,0.56,0.82,39.222763557489614,-84.56707157,39.22516000420431,-84.58265007,Yes
222,22,e1d3c7c4-d27a-4a7d-afce-635330506ab6,2023-03-15T21:21:06.000Z,2023-03-15T21:22:57.000Z,Hickory Trail Ln / Kenwood Rd,OH-126 Ronald Reagan Cross County Hwy Exit 32A / Blue Ash Rd / Kenwood Rd,Southbound,2,0.178,1.043,1.91,39.25251971,-84.37493003,39.225,-84.3778,Yes
223,18,8c2dcbd6-8a01-4fa0-b535-77e7a901d646,2023-03-15T12:44:08.000Z,2023-03-15T12:55:44.000Z,I-77  Exit 153 / Pleasant Valley Rd / Forestwood Dr,"I-480  Exit 20A-B / I-77  Exits 155,156 / Rockside Rd",Northbound,12,0.219,0.562,1.48,41.36968718517985,-81.65143889,41.39006271038922,-81.65283264,No
224,12,b25ff10d-6146-48d0-9408-9e831e449b93,2023-03-15T22:16:03.000Z,2023-03-15T22:18:07.000Z,I-75  Exit 13 / Shepherd Ln / Shepherd Ave,I-75  Exit 12 / Cooper Ave,Southbound,2,0,0.462,1.12,39.24069,-84.45119,39.22558349601974,-84.45267733,No
225,89,d81eb671-b484-43fd-8a9b-7b0d3bf36f73,2023-03-15T21:21:06.000Z,2023-03-15T21:33:06.000Z,Kenwood Rd / Alpine Ave,Kenwood Rd / Zig Zag Rd,Northbound,12,0.436,0.944,1.52,39.22387017300171,-84.37781999,39.24577002582643,-84.37562,Yes
226,115,38acc49c-a69e-4091-9f19-dd8d5938b332,2023-03-15T11:58:36.000Z,2023-03-15T12:18:24.000Z,"I-74  Exit 5 / I-275  Exits 5,25",I-275  Exit 7 / OH-128 Hamilton Cleves Rd,Northbound,20,0.746,0.048,0.5,39.217634737990544,-84.73699216,39.2147,-84.7278,Yes
227,28,5e025019-7b2c-44ed-aae6-a6f85b6af3ae,2023-03-15T19:52:49.000Z,2023-03-15T20:07:33.000Z,I-75  Exit 6 / Mitchell Ave,"I-75  Exits 3,4 / I-74 / US-52 Hopple St",Southbound,15,0.227,1.194,1.72,39.16312993664962,-84.5090101,39.15522635,-84.53791243,Yes
228,80,bbfef944-192a-4e35-aa72-f783dd951ca7,2023-03-15T13:02:34.000Z,2023-03-15T13:07:22.000Z,General Griffin Rd / CR-25 Morse Rd,CR-25 Morse Rd / CR-39 York Rd,Westbound,5,0,1.104,1.1,40.06345634,-82.58276921,40.06024,-82.60277,No
229,8,526b7285-4a28-49b0-9a6f-bb58e53fe0c6,2023-03-15T12:09:53.000Z,2023-03-15T12:31:01.000Z,CR-25 Morse Rd / CR-39 York Rd,CR-25 Morse Rd,Westbound,21,0,0.704,0.7,40.06033,-82.62277,40.06005000133041,-82.63604005,No
