,BottleneckSummaryIndex,Id,StartDate,EndDate,FromIntersectionName,ToIntersectionName,Direction,MaxDurationMinutes,StartSegmentOffsetMiles,EndSegmentOffsetMiles,MaxLengthMiles,FromPointLat,FromPointLon,ToPointLat,ToPointLon,label
0,153,1f6e259c-b2f2-4239-a62c-28db187be8c5,2024-01-24T13:00:05.000Z,2024-01-24T13:27:33.000Z,I-71,I-71  Exit 5 / Dana Ave / Duck Creek Rd,Southbound,27,1.044,0.246,14.28,39.30045454370711,-84.3068375,39.1477162,-84.45159964,Yes
1,80,411293de-4d54-429a-a2fd-4bdb65cea27c,2024-01-24T13:29:51.000Z,2024-01-24T14:19:42.000Z,I-71,I-71  Exit 6 / OH-561 Williams Ave,Southbound,50,1.044,0.231,13.14,39.30045454370711,-84.3068375,39.15932924544732,-84.43802045,Yes
2,108,605d9d8f-c1e9-4e61-b62e-8c8a9a8fc942,2024-01-24T12:37:17.000Z,2024-01-24T14:23:06.000Z,I-90  Exit 164 / Marginal Dr / Mckinley Ave,I-90  Exit 173A / Prospect Ave,Eastbound,106,0,0.094,8.57,41.46968,-81.81175,41.49926347,-81.67171479,Yes
3,28,b8e564bb-6ead-4050-a699-7d6148c82324,2024-01-24T22:26:55.000Z,2024-01-24T23:27:50.000Z,I-75  Exit 59 / Benchwood Rd,I-75,Southbound,61,0.326,0.348,10.06,39.84140955743608,-84.18980999,39.71034606250184,-84.22824169,Yes
4,66,24b9aea7-78ea-41e8-95ba-e47d75280018,2024-01-24T12:35:54.000Z,2024-01-24T13:31:08.000Z,I-71,I-71  Exit 8 / Highland Ave,Southbound,55,0.189,0.378,13.22,39.32318996770502,-84.28749363,39.170832680830266,-84.40891003,Yes
5,69,d868e7aa-4d10-44f4-ba47-28069a26d45b,2024-01-24T13:04:44.000Z,2024-01-24T14:29:59.000Z,"I-71  Exits 119,119A,119B / I-270  Exit 26",I-71  Exit 110B / 11th Ave / Kingry St,Southbound,85,0.545,0.034,7.31,40.098305140771856,-82.98531394,39.99754928348411,-82.98483006,Yes
6,154,1548f5e4-3e9f-405b-897e-796600c8f701,2024-01-24T20:51:59.000Z,2024-01-24T23:21:47.000Z,"I-71  Exits 109A,109B,110A / I-670  Exits 4A,4A-B,4B,4C,5,5A-5B / Goodale St",I-71  Exit 117 / OH-161 Dublin Granville Rd,Northbound,150,0.104,0.15,6.86,39.96391253983678,-82.98290649,40.05960348239687,-82.99814102,Yes
7,113,cef832b8-bc05-4436-8b38-30f1c320336a,2024-01-24T12:40:58.000Z,2024-01-24T13:05:53.000Z,I-71  Exit 117 / OH-161 Dublin Granville Rd,"I-71  Exits 109A,109B,110A / I-670  Exits 4A,4A-B,4B,4C,5,5A-5B / Goodale St",Southbound,25,0.262,0.177,6.86,40.08769328885243,-82.98742042,39.99424494237035,-82.98515852,Yes
8,126,3609e37e-8d2e-4c20-8913-9440b8869cca,2024-01-24T21:33:47.000Z,2024-01-24T22:15:51.000Z,"I-670  Exits 2A,2B,3 / OH-315  Exits 1C,1D,1E,1F,2 / Goodale St",OH-315  Exit 7 / Henderson Rd,Northbound,42,0.202,0.231,5.39,39.9663,-83.02111,40.03805017703336,-83.02990011,Yes
9,69,abdf9d94-3cab-447a-838f-b699171ed9cb,2024-01-24T13:02:42.000Z,2024-01-24T13:03:54.000Z,"I-71  Exits 119,119A,119B / I-270  Exit 26",I-71  Exit 110B / 11th Ave / Kingry St,Southbound,1,0.36,0,7.57,40.10077453263485,-82.98414756,39.99680476815755,-82.98489852,No
10,21,6e9168da-1b39-418e-89df-0add1b321c00,2024-01-24T21:19:12.000Z,2024-01-24T22:02:54.000Z,I-670  Exit 3 / Spruce St,"I-270  Exits 35,35A,35B / I-670  Exits 10A-B,10C,10D / US-62",Eastbound,44,0.217,0.249,6.27,39.97307082171359,-83.00658206,40.00746299831101,-82.91240438,Yes
11,1,1b330ab0-46b1-42fc-b4c2-0bb45cd722d4,2024-01-24T13:48:10.000Z,2024-01-24T14:01:47.000Z,"I-480  Exit 20A-B / I-77  Exits 155,156 / Rockside Rd","I-90  Exits 171,172A,172C / I-77  Exit 162B / OH-10 Carnegie Ave",Northbound,14,0.405,0.244,7.19,41.39782936824408,-81.65235593,41.49243774604962,-81.67557357,Yes
12,85,6f6675da-baae-458b-bb55-475c06ff5bab,2024-01-24T12:46:04.000Z,2024-01-24T13:12:55.000Z,"I-270  Exits 35,35A,35B / I-670  Exits 10A-B,10C,10D / US-62","I-670  Exits 2A,2B,3 / OH-315  Exits 1C,1D,1E,1F,2 / Goodale St",Westbound,27,0,0.11,6.52,40.01187,-82.90749,39.973350167349146,-83.00848269,Yes
