,BottleneckSummaryIndex,Id,StartDate,EndDate,FromIntersectionName,ToIntersectionName,Direction,MaxDurationMinutes,StartSegmentOffsetMiles,EndSegmentOffsetMiles,MaxLengthMiles,FromPointLat,FromPointLon,ToPointLat,ToPointLon,label
0,110,d3215040-f138-4c6e-86ad-1c8899cf6698,2023-12-19T02:33:05.000Z,2023-12-19T03:21:00.000Z,I-480,I-80  Exit 151 / I-480  Exit 1 / OH-10,Westbound,48,0.727,0.354,31.67,41.34145719643643,-81.49349371,41.38598295450572,-81.98146156,Yes
1,110,ef2c6d80-0f8f-4d78-954e-064c0651a8dc,2023-12-19T01:07:09.000Z,2023-12-19T04:17:00.000Z,I-480  Exit 41 / Aurora Hudson Rd,I-80  Exit 151 / I-480  Exit 1 / OH-10,Westbound,190,0,0.354,40.34,41.25904,-81.37463,41.38598295450572,-81.98146156,Yes
2,18,e47b7276-d771-4bb4-839f-84bad81ded54,2023-12-19T01:50:57.000Z,2023-12-19T03:08:01.000Z,I-80,I-80,Eastbound,77,0,0,43.4,41.36905,-81.9708,41.24346,-81.18162223,Yes
3,110,47a3e2d9-6327-454e-a9e0-bc9f4ea486ca,2023-12-19T02:23:49.000Z,2023-12-19T02:28:05.000Z,I-480  Exit 37 / OH-91 Darrow Rd,I-80  Exit 151 / I-480  Exit 1 / OH-10,Westbound,4,0.454,0.354,35.26,41.30693880585525,-81.44310818,41.38598295450572,-81.98146156,No
4,352,15fd19e9-d4f8-4999-9832-b76ade0ef369,2023-12-19T02:35:58.000Z,2023-12-19T03:52:53.000Z,"I-480  Exit 20A-B / I-77  Exits 155,156 / Rockside Rd","I-77  Exit 125B / I-76  Exits 23A,23B / OH-8 I-77",Southbound,77,0.02,0.49,29.52,41.39505231332187,-81.65324992,41.06236,-81.51117,Yes
5,112,18dca7dd-4040-42ad-bd8b-9ef9de8d438c,2023-12-19T01:20:10.000Z,2023-12-19T01:25:09.000Z,I-71  Exit 220 / I-271  Exit 1,I-90 / I-271,Northbound,5,0,0.558,39.76,41.16195,-81.78158,41.59278554392191,-81.4465786,Yes
6,112,6990fe46-b663-471b-994b-913bfd10929d,2023-12-19T02:18:08.000Z,2023-12-19T03:00:58.000Z,I-71  Exit 220 / I-271  Exit 1,I-90 / I-271,Northbound,43,0,0.73,39.93,41.16195,-81.78158,41.59550998,-81.44515001,Yes
7,30,277d56fa-23b4-4928-a736-819920a26914,2023-12-19T04:13:55.000Z,2023-12-19T04:45:55.000Z,I-71  Exit 220 / I-271  Exit 1,I-271,Northbound,32,0,1.153,38.68,41.16195,-81.78158,41.57626932152427,-81.4471792,Yes
8,29,03f8cc0b-3f2c-4006-bc3e-18956623159c,2023-12-19T02:14:00.000Z,2023-12-19T02:30:57.000Z,I-77  Exit 159B / Independence Rd / Fleet Ave,I-76  Exit 20 / I-77  Exit 129,Southbound,17,0.513,0.049,30.1,41.45171997972124,-81.65711,41.06729783254321,-81.57420408,Yes
9,317,dd1363a5-7897-4a93-ba3a-7091f73ed402,2023-12-19T01:00:58.000Z,2023-12-19T02:37:54.000Z,"I-77  Exits 137A,137B / OH-18 Medina Rd",I-77  Exit 159B / Independence Rd / Fleet Ave,Northbound,97,0.039,0.12,22.55,41.13561894892391,-81.65064025,41.44725538863922,-81.65508124,Yes
