BottleneckSummaryIndex,Id,StartDate,EndDate,FromIntersectionName,ToIntersectionName,Direction,MaxDurationMinutes,StartSegmentOffsetMiles,EndSegmentOffsetMiles,MaxLengthMiles,FromPointLat,FromPointLon,ToPointLat,ToPointLon,StartDate,StartHour,StartMinutes,EndDate,EndHour,EndMinutes,TotalImpactFactor
2,10205eb9-7061-48bc-bfd3-50f6b97f4529,2022-01-17T03:45:34.000Z,2022-01-17T03:59:31.000Z,I-70 / I-670,I-670  Exit 6 / Leonard Ave,Eastbound,14,0,0,6.18,39.96843,-83.06556,39.98026502,-82.96203488,1/16/2022,22:00,45,1/16/2022,22:00,59,86.52
3,809771a2-9b36-4d73-ba3e-7bf2b65e4040,2022-01-17T03:49:29.000Z,2022-01-17T05:50:30.000Z,I-70 / I-670,"I-270  Exits 35,35A,35B / I-670  Exits 10A-B,10C,10D / US-62",Eastbound,121,0,0.215,10.37,39.96843,-83.06556,40.01297135,-82.90204888,1/16/2022,22:00,49,1/17/2022,0:00,50,1254.77
5,24ede196-9e03-4f5a-b382-88e8c3f56b1e,2022-01-17T04:32:40.000Z,2022-01-17T04:33:36.000Z,I-670  Exit 3 / Spruce St,I-670  Exit 7 / US-62 5th Ave / 5th Ave,Eastbound,1,0.12,0.148,3.34,39.97299215,-83.0144647,39.98061041,-82.95886432,1/16/2022,23:00,32,1/16/2022,23:00,33,3.34
5,8608dd20-d772-40ba-989f-c6846c946f18,2022-01-17T04:53:37.000Z,2022-01-17T04:54:32.000Z,I-670  Exit 3 / Spruce St,I-670  Exit 7 / US-62 5th Ave / 5th Ave,Eastbound,1,0.239,0.04,3.11,39.97339,-83.01259748,39.98043722,-82.96083667,1/16/2022,23:00,53,1/16/2022,23:00,54,3.11
5,d0bc44b2-1133-443c-8633-38c4632249ed,2022-01-17T05:10:34.000Z,2022-01-17T05:11:58.000Z,I-70 / I-670,I-670  Exit 7 / US-62 5th Ave / 5th Ave,Eastbound,1,0,0.256,6.44,39.96843,-83.06556,39.98063541,-82.95748516,1/17/2022,0:00,10,1/17/2022,0:00,11,6.44
