BottleneckSummaryIndex,Id,StartDate,EndDate,FromIntersectionName,ToIntersectionName,Direction,MaxDurationMinutes,StartSegmentOffsetMiles,EndSegmentOffsetMiles,MaxLengthMiles,FromPointLat,FromPointLon,ToPointLat,ToPointLon,StartDate,StartHour,StartMinutes,EndDate,EndHour,EndMinutes,TotalImpactFactor
3,9501f9c1-01bb-4c25-b922-b6db734bf261,2022-01-17T11:22:35.000Z,2022-01-17T11:30:41.000Z,I-670  Exit 3 / Spruce St,"I-270  Exits 35,35A,35B / I-670  Exits 10A-B,10C,10D / US-62",Eastbound,8,0.167,0.215,6.57,39.97530674,-83.00033893,40.01297135,-82.90204888,1/17/2022,6:00,22,1/17/2022,6:00,30,52.56
4,b72f58fb-b454-4745-8891-ea14a1f0d0ef,2022-01-17T11:26:41.000Z,2022-01-17T11:57:39.000Z,I-670  Exit 3 / Spruce St,I-670  Exit 9 / Stelzer Rd / International Gtwy,Eastbound,31,0.345,0.508,5.04,39.97327,-83.0103,39.99464,-82.93366,1/17/2022,6:00,26,1/17/2022,6:00,57,156.24
3,2abc3874-329c-4cd4-84f4-3a1349549c7a,2022-01-17T11:51:43.000Z,2022-01-17T12:01:34.000Z,I-670  Exit 3 / Spruce St,"I-270  Exits 35,35A,35B / I-670  Exits 10A-B,10C,10D / US-62",Eastbound,10,0,0.215,6.74,39.97423,-83.00289,40.01297135,-82.90204888,1/17/2022,6:00,51,1/17/2022,7:00,01,67.4
