BottleneckSummaryIndex,Id,StartDate,EndDate,FromIntersectionName,ToIntersectionName,Direction,MaxDurationMinutes,StartSegmentOffsetMiles,EndSegmentOffsetMiles,MaxLengthMiles,FromPointLat,FromPointLon,ToPointLat,ToPointLon,StartDate,StartHour,StartMinutes,EndDate,EndHour,EndMinutes,TotalImpactFactor
3,40c2bf21-40fc-403b-9249-ad1207c77472,2022-02-03T18:44:33.000Z,2022-02-03T19:32:46.000Z,I-70 / I-670,"I-270  Exits 35,35A,35B / I-670  Exits 10A-B,10C,10D / US-62",Eastbound,48,0,0.215,10.37,39.96843,-83.06556,40.01297135,-82.90204888,2/3/2022,13:00,44,2/3/2022,14:00,32,497.76
5,2ea263eb-adeb-48cb-a459-7ebf3d37abe8,2022-02-03T18:46:35.000Z,2022-02-03T18:50:32.000Z,I-70 / I-670,I-670  Exit 7 / US-62 5th Ave / 5th Ave,Eastbound,4,0,0.148,6.33,39.96843,-83.06556,39.98061041,-82.95886432,2/3/2022,13:00,46,2/3/2022,13:00,50,25.32
5,d3e59512-80bd-4e15-86c8-d1b5d788074c,2022-02-03T19:07:37.000Z,2022-02-03T19:09:43.000Z,I-670  Exit 3 / Spruce St,I-670  Exit 7 / US-62 5th Ave / 5th Ave,Eastbound,2,0,0.6,2.74,39.97531,-82.99552,39.98079,-82.95013,2/3/2022,14:00,07,2/3/2022,14:00,09,5.48
5,2b02da27-8ab0-40b6-af5a-e5806d42f61a,2022-02-03T19:18:35.000Z,2022-02-03T19:22:41.000Z,I-70 / I-670,I-670  Exit 7 / US-62 5th Ave / 5th Ave,Eastbound,4,0.158,0.04,6.07,39.96770536,-83.06273682,39.98043722,-82.96083667,2/3/2022,14:00,18,2/3/2022,14:00,22,24.28
4,a8fa6d68-cb6c-42a5-a60b-c985c6a74b9d,2022-02-03T19:29:30.000Z,2022-02-03T19:36:01.000Z,I-70 / I-670,I-670  Exit 9 / Stelzer Rd / International Gtwy,Eastbound,7,0,0.482,8.23,39.96843,-83.06556,39.99428043,-82.93399957,2/3/2022,14:00,29,2/3/2022,14:00,36,57.61
