BottleneckSummaryIndex,Id,StartDate,EndDate,FromIntersectionName,ToIntersectionName,Direction,MaxDurationMinutes,StartSegmentOffsetMiles,EndSegmentOffsetMiles,MaxLengthMiles,FromPointLat,FromPointLon,ToPointLat,ToPointLon,StartDate,StartHour,StartMinutes,EndDate,EndHour,EndMinutes,TotalImpactFactor
3,2061b58e-407a-483a-a787-3696e4aabb10,2022-02-04T10:33:30.000Z,2022-02-04T12:53:37.000Z,I-70 / I-670,"I-270  Exits 35,35A,35B / I-670  Exits 10A-B,10C,10D / US-62",Eastbound,140,0.158,0.215,10.21,39.96770536,-83.06273682,40.01297135,-82.90204888,2/4/2022,5:00,33,2/4/2022,7:00,53,1429.4
6,3b822b7f-f852-48fd-82da-3c3978127bdc,2022-02-04T12:23:33.000Z,2022-02-04T12:24:39.000Z,I-670  Exit 9 / Stelzer Rd / International Gtwy,US-62 / Olde Ridenour Rd,Eastbound,1,0.079,0.245,1.79,40.0051102,-82.91671964,40.01853001,-82.89006992,2/4/2022,7:00,23,2/4/2022,7:00,24,1.79
5,15d0a62d-c7fb-48c3-9d5a-6d5eaeebc8b3,2022-02-04T12:43:42.000Z,2022-02-04T12:48:27.000Z,I-670  Exit 3 / Spruce St,I-670  Exit 7 / US-62 5th Ave / 5th Ave,Eastbound,5,0,0.508,3.66,39.97423,-83.00289,39.98195118,-82.94100852,2/4/2022,7:00,43,2/4/2022,7:00,48,18.3
7,7d2633af-650b-4242-9770-b0914dcda27a,2022-02-04T12:43:42.000Z,2022-02-04T12:48:27.000Z,I-670  Exit 7 / US-62 5th Ave / 5th Ave,"I-270  Exits 35,35A,35B / I-670  Exits 10A-B,10C,10D / US-62",Eastbound,5,0,0,3.2,39.98822,-82.9382,40.01812777,-82.8951202,2/4/2022,7:00,43,2/4/2022,7:00,48,16
3,71208b5a-807f-4ee0-9dec-3f24fc1c65b7,2022-02-04T12:49:40.000Z,2022-02-04T12:58:51.000Z,I-670  Exit 3 / Spruce St,"I-270  Exits 35,35A,35B / I-670  Exits 10A-B,10C,10D / US-62",Eastbound,9,0.12,0.191,6.22,39.97299215,-83.0144647,40.0030505,-82.92049243,2/4/2022,7:00,49,2/4/2022,7:00,58,55.98
