BottleneckSummaryIndex,Id,StartDate,EndDate,FromIntersectionName,ToIntersectionName,Direction,MaxDurationMinutes,StartSegmentOffsetMiles,EndSegmentOffsetMiles,MaxLengthMiles,FromPointLat,FromPointLon,ToPointLat,ToPointLon,StartDate,StartHour,StartMinutes,EndDate,EndHour,EndMinutes,TotalImpactFactor
2,6e851e78-4b38-4266-b265-8c584f3ae29e,2022-01-17T11:59:34.000Z,2022-01-17T12:44:54.000Z,I-670  Exit 3 / Spruce St,I-670  Exit 6 / Leonard Ave,Eastbound,45,0.239,0,3.07,39.97339,-83.01259748,39.98026502,-82.96203488,1/17/2022,6:00,59,1/17/2022,7:00,44,138.15
3,37fbb1da-2858-4b4c-af40-de668ddf898f,2022-01-17T12:26:48.000Z,2022-01-17T12:29:31.000Z,I-670  Exit 6 / Leonard Ave,"I-270  Exits 35,35A,35B / I-670  Exits 10A-B,10C,10D / US-62",Eastbound,3,0.206,0.19,3.35,39.98084959,-82.94624944,40.01257755,-82.90251465,1/17/2022,7:00,26,1/17/2022,7:00,29,10.05
8,85ed3a41-d4fe-4ca7-ba77-42221c8d99ae,2022-01-17T12:29:31.000Z,2022-01-17T12:40:36.000Z,US-62 Nelson Rd / Willamont Ave,"I-270  Exits 35,35A,35B / I-670  Exits 10A-B,10C,10D / US-62",Eastbound,11,0.125,0.19,3.07,39.98338629,-82.94222511,40.01257755,-82.90251465,1/17/2022,7:00,29,1/17/2022,7:00,40,33.77
