BottleneckSummaryIndex,Id,StartDate,EndDate,FromIntersectionName,ToIntersectionName,Direction,MaxDurationMinutes,StartSegmentOffsetMiles,EndSegmentOffsetMiles,MaxLengthMiles,FromPointLat,FromPointLon,ToPointLat,ToPointLon,StartDate,StartHour,StartMinutes,EndDate,EndHour,EndMinutes,TotalImpactFactor
3,fa0efa3f-60b2-4776-952b-a8a4d2d986f2,2022-01-17T12:43:30.000Z,2022-01-17T12:54:38.000Z,I-670  Exit 3 / Spruce St,"I-270  Exits 35,35A,35B / I-670  Exits 10A-B,10C,10D / US-62",Eastbound,11,0.345,0.215,7.15,39.97327,-83.0103,40.01297135,-82.90204888,1/17/2022,7:00,43,1/17/2022,7:00,54,78.65
5,1af94f09-e4f6-4edd-b309-758a571d6004,2022-01-17T12:47:48.000Z,2022-01-17T13:18:40.000Z,I-670  Exit 3 / Spruce St,I-670  Exit 7 / US-62 5th Ave / 5th Ave,Eastbound,31,0,0.04,2.6,39.97423,-83.00289,39.98043722,-82.96083667,1/17/2022,7:00,47,1/17/2022,8:00,18,80.6
7,3424ffc7-a659-491b-85e5-108b420670fb,2022-01-17T12:51:37.000Z,2022-01-17T13:20:45.000Z,5th Ave / US-62 5th Ave / Nelson Rd,US-62 / Olde Ridenour Rd,Eastbound,29,0.062,0.257,3.74,39.98564994,-82.94025888,40.01855001,-82.88984988,1/17/2022,7:00,51,1/17/2022,8:00,20,108.46
3,3f5988ea-9908-4775-a553-5465c4263348,2022-01-17T12:56:36.000Z,2022-01-17T12:57:50.000Z,I-670  Exit 6 / Leonard Ave,"I-270  Exits 35,35A,35B / I-670  Exits 10A-B,10C,10D / US-62",Eastbound,1,0.057,0.215,3.53,39.98079998,-82.94906206,40.01297135,-82.90204888,1/17/2022,7:00,56,1/17/2022,7:00,57,3.53
3,f4dd19ea-9a9a-42cd-b4dc-917cfdd9346c,2022-01-17T13:06:32.000Z,2022-01-17T13:15:42.000Z,I-670  Exit 6 / Leonard Ave,"I-270  Exits 35,35A,35B / I-670  Exits 10A-B,10C,10D / US-62",Eastbound,9,0.482,0.215,3.7,39.98066013,-82.95248847,40.01297135,-82.90204888,1/17/2022,8:00,06,1/17/2022,8:00,15,33.3
