BottleneckSummaryIndex,Id,StartDate,EndDate,FromIntersectionName,ToIntersectionName,Direction,MaxDurationMinutes,StartSegmentOffsetMiles,EndSegmentOffsetMiles,MaxLengthMiles,FromPointLat,FromPointLon,ToPointLat,ToPointLon,StartDate,StartHour,StartMinutes,EndDate,EndHour,EndMinutes,TotalImpactFactor
3,cfbd3ffc-3aed-4bd5-92b3-e3642e8c0719,2022-02-03T18:11:32.000Z,2022-02-03T18:25:51.000Z,"I-670  Exits 2A,2B,3 / OH-315  Exits 1C,1D,1E,1F,2 / Goodale St","I-270  Exits 35,35A,35B / I-670  Exits 10A-B,10C,10D / US-62",Eastbound,14,0.175,0.215,8.25,39.96505,-83.02725999,40.01297135,-82.90204888,2/3/2022,13:00,11,2/3/2022,13:00,25,115.5
5,0b8a8064-578f-412b-81d1-50a4090fc51f,2022-02-03T18:17:36.000Z,2022-02-03T18:20:36.000Z,I-670  Exit 1A / US-33 Dublin Rd,I-670  Exit 7 / US-62 5th Ave / 5th Ave,Eastbound,3,0.164,0.148,5.35,39.9687475,-83.04759835,39.98061041,-82.95886432,2/3/2022,13:00,17,2/3/2022,13:00,20,16.05
