BottleneckSummaryIndex,Id,StartDateUTC,EndDateUTC,FromIntersectionName,ToIntersectionName,Direction,MaxDurationMinutes,StartSegmentOffsetMiles,EndSegmentOffsetMiles,MaxLengthMiles,FromPointLat,FromPointLon,ToPointLat,ToPointLon,StartDateET,EndDateET,StartHourET,StartMinuteET,EndHourET,EndMinuteET,TotalImpactFactor,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
3,91a8b7b5-03cd-4ed0-a156-fea5ce6a47a6,2024-03-19 11:36:27,2024-03-19 12:12:39,I-275,I-275  Exit 50 / US-22 Montgomery Rd / Hetz Dr,Northbound,36,0.0,0.95,4.41,39.2074634790692,-84.2631886368097,39.25193978173259,-84.31601610958977,2024-03-19 07:36:27-04:00,2024-03-19 08:12:39-04:00,7,36,8,12,158.76,0,0.0,0.0,0,0,0.0,0.0,105.83999999999999,52.919999999999995,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
3,043207cc-042d-4dc2-ac4a-b14da1d554ed,2024-03-06 11:48:27,2024-03-06 12:37:32,I-275  Exit 57 / OH-28,I-275  Exit 50 / US-22 Montgomery Rd / Hetz Dr,Northbound,49,0.114,0.867,6.68,39.18933032036001,-84.2625799615568,39.25846508820101,-84.3339870265633,2024-03-06 06:48:27-05:00,2024-03-06 07:37:32-05:00,6,48,7,37,327.32,0,0.0,0.0,0,0,0.0,80.16,247.15999999999997,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
3,20b5272c-a8c6-4842-81cd-93336fd8443f,2024-04-02 11:41:31,2024-04-02 11:44:31,I-275  Exit 54 / Wards Corner Rd,I-275  Exit 50 / US-22 Montgomery Rd / Hetz Dr,Northbound,3,0.0,0.278,3.53,39.22342,-84.27573,39.25316324675046,-84.32565985209322,2024-04-02 07:41:31-04:00,2024-04-02 07:44:31-04:00,7,41,7,44,10.59,0,0.0,0.0,0,0,0.0,0.0,10.59,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
4,026ce957-a55b-470f-ab75-aa19d13ba30c,2024-03-14 11:46:24,2024-03-14 11:56:30,I-275,I-275,Northbound,10,0.616,0.0,2.85,39.215255335979805,-84.26793451195124,39.24525136564208,-84.3032232859429,2024-03-14 07:46:24-04:00,2024-03-14 07:56:30-04:00,7,46,7,56,28.5,0,0.0,0.0,0,0,0.0,0.0,28.5,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
4,d315e4fc-37f2-40c3-ad86-731f69c3e5bb,2024-03-04 12:41:27,2024-03-04 12:56:31,I-275,I-275,Northbound,15,0.154,0.093,3.4,39.20909409346813,-84.26371382122977,39.24657249199655,-84.30446974226334,2024-03-04 07:41:27-05:00,2024-03-04 07:56:31-05:00,7,41,7,56,51.0,0,0.0,0.0,0,0,0.0,0.0,51.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
4,702f2413-7cbc-4855-9b2a-0e89ae2cc853,2024-03-13 09:37:24,2024-03-13 09:57:23,I-275,I-275,Northbound,20,0.925,0.0,2.54,39.21909088866996,-84.27115079980297,39.24525136564208,-84.3032232859429,2024-03-13 05:37:24-04:00,2024-03-13 05:57:23-04:00,5,37,5,57,50.8,0,0.0,0.0,0,0,50.8,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
4,e9a08d62-530a-4210-abdf-d13227750f92,2024-03-18 12:27:29,2024-03-18 12:49:29,"I-275  Exits 59,59A,59B / Milford Pkwy",I-275,Northbound,22,0.0,0.596,7.42,39.15945,-84.2671,39.251330824220005,-84.31149373642381,2024-03-18 08:27:29-04:00,2024-03-18 08:49:29-04:00,8,27,8,49,163.24,0,0.0,0.0,0,0,0.0,0.0,0.0,163.24,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
4,38041dfc-8e2e-424d-99a7-31e4a34f9149,2024-03-21 11:31:31,2024-03-21 12:09:33,I-275,I-275,Northbound,38,0.516,0.261,4.34,39.1985605838349,-84.2626427905782,39.24849236781997,-84.30632282420683,2024-03-21 07:31:31-04:00,2024-03-21 08:09:33-04:00,7,31,8,9,164.92,0,0.0,0.0,0,0,0.0,0.0,125.86,39.059999999999995,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
4,d63e457a-4168-4b7d-99fb-c1df79cd8cef,2024-03-13 11:39:35,2024-03-13 11:48:32,I-275,I-275,Northbound,9,0.824,0.261,4.03,39.20302079180559,-84.26277006843587,39.24849236781997,-84.30632282420683,2024-03-13 07:39:35-04:00,2024-03-13 07:48:32-04:00,7,39,7,48,36.27,0,0.0,0.0,0,0,0.0,0.0,36.27,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
4,c5a121a4-7f1c-4c1c-8cd2-fe41219caaf4,2024-03-05 12:38:28,2024-03-05 13:01:29,I-275  Exit 57 / OH-28,I-275,Northbound,23,0.286,0.261,5.19,39.1863901157645,-84.26333995948242,39.24849236781997,-84.30632282420683,2024-03-05 07:38:28-05:00,2024-03-05 08:01:29-05:00,7,38,8,1,119.37,0,0.0,0.0,0,0,0.0,0.0,114.18,5.19,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
4,133b77b1-469f-4dd9-96e0-228b2eae36c1,2024-03-05 12:23:27,2024-03-05 12:39:32,I-275,I-275,Northbound,16,0.965,0.084,3.96,39.17743277281754,-84.26679034755293,39.22896039457531,-84.2845088526364,2024-03-05 07:23:27-05:00,2024-03-05 07:39:32-05:00,7,23,7,39,63.36,0,0.0,0.0,0,0,0.0,0.0,63.36,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
4,49836e96-7aaf-41e0-b5de-3e54979aedfd,2024-03-07 12:40:31,2024-03-07 12:59:33,I-275,I-275,Northbound,19,0.308,0.261,3.42,39.21157247564188,-84.26498173292663,39.24849236781997,-84.30632282420683,2024-03-07 07:40:31-05:00,2024-03-07 07:59:33-05:00,7,40,7,59,64.98,0,0.0,0.0,0,0,0.0,0.0,64.98,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
