BottleneckSummaryIndex,Id,StartDateUTC,EndDateUTC,FromIntersectionName,ToIntersectionName,Direction,MaxDurationMinutes,StartSegmentOffsetMiles,EndSegmentOffsetMiles,MaxLengthMiles,FromPointLat,FromPointLon,ToPointLat,ToPointLon,StartDateET,EndDateET,StartHourET,StartMinuteET,EndHourET,EndMinuteET,TotalImpactFactor,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2,33dcb4dc-cac3-4915-99c1-64f877727334,2024-01-19 06:06:51,2024-01-19 06:43:03,I-275,I-275  Exit 47 / Reed Hartman Hwy,Northbound,36,0.315,0.494,13.0,39.1256407186023,-84.27235676364096,39.275960374034135,-84.35761850868643,2024-01-19 01:06:51-05:00,2024-01-19 01:43:03-05:00,1,6,1,43,468.0,0,468.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
2,2b18e182-e775-43c2-bef7-be91f724a8b7,2024-01-23 13:02:40,2024-01-23 13:21:00,I-275,I-275  Exit 47 / Reed Hartman Hwy,Northbound,18,0.308,0.444,6.84,39.21157247564188,-84.26498173292663,39.27591009597427,-84.357550130525,2024-01-23 08:02:40-05:00,2024-01-23 08:21:00-05:00,8,2,8,21,123.12,0,0.0,0.0,0,0,0.0,0.0,0.0,123.12,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
2,3a66cff8-12a4-4f64-b22d-827f810d4584,2024-02-28 13:03:39,2024-02-28 13:09:29,I-275  Exit 52 / Loveland Madeira Rd,I-275  Exit 47 / Reed Hartman Hwy,Northbound,6,0.284,0.273,3.55,39.24518026043983,-84.30316023029783,39.274160898816696,-84.355151250516,2024-02-28 08:03:39-05:00,2024-02-28 08:09:29-05:00,8,3,8,9,21.299999999999997,0,0.0,0.0,0,0,0.0,0.0,0.0,21.299999999999997,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
2,081c1325-2c9a-4551-be1a-ab3f4dec260a,2024-01-16 12:37:58,2024-01-16 12:56:54,I-275  Exit 54 / Wards Corner Rd,I-275  Exit 47 / Reed Hartman Hwy,Northbound,19,0.256,0.0,5.14,39.22522414764439,-84.27849399051485,39.27149,-84.35152,2024-01-16 07:37:58-05:00,2024-01-16 07:56:54-05:00,7,37,7,56,97.66,0,0.0,0.0,0,0,0.0,0.0,97.66,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
2,aa29eeaf-0ea5-402f-aa27-b1d461b34d41,2024-01-24 13:19:42,2024-01-24 14:00:49,I-275,I-275  Exit 47 / Reed Hartman Hwy,Northbound,41,0.516,0.409,7.73,39.1985605838349,-84.2626427905782,39.27556005748799,-84.35708007477413,2024-01-24 08:19:42-05:00,2024-01-24 09:00:49-05:00,8,19,9,0,316.93,0,0.0,0.0,0,0,0.0,0.0,0.0,316.93,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
2,5257b1f4-6de3-4b49-9322-a811ff25c3db,2024-02-01 12:46:32,2024-02-01 12:58:43,I-275,I-275  Exit 47 / Reed Hartman Hwy,Northbound,12,0.0,0.137,6.84,39.2074634790692,-84.2631886368097,39.2728609419545,-84.35335915169759,2024-02-01 07:46:32-05:00,2024-02-01 07:58:43-05:00,7,46,7,58,82.08,0,0.0,0.0,0,0,0.0,0.0,82.08,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
2,838dac4d-2bf4-4ad9-9b42-45a82ee4bda6,2024-01-24 14:04:37,2024-01-24 14:11:40,I-275  Exit 52 / Loveland Madeira Rd,I-275  Exit 47 / Reed Hartman Hwy,Northbound,7,0.093,0.409,3.55,39.24657249199655,-84.30446974226334,39.27556005748799,-84.35708007477413,2024-01-24 09:04:37-05:00,2024-01-24 09:11:40-05:00,9,4,9,11,24.849999999999998,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,24.849999999999998,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
2,e052eaf0-065f-4282-b212-4d9fb7e24f77,2024-01-10 12:28:35,2024-01-10 12:59:46,I-275,I-275  Exit 47 / Reed Hartman Hwy,Northbound,31,0.67,0.137,7.3,39.20079067739884,-84.26270642718896,39.2728609419545,-84.35335915169759,2024-01-10 07:28:35-05:00,2024-01-10 07:59:46-05:00,7,28,7,59,226.29999999999998,0,0.0,0.0,0,0,0.0,0.0,226.29999999999998,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
2,dd41f70b-5a92-40ed-a9a5-cfdbedf12a4b,2024-01-23 12:43:00,2024-01-23 12:59:55,I-275,I-275  Exit 47 / Reed Hartman Hwy,Northbound,17,0.824,0.085,7.59,39.20302079180559,-84.26277006843587,39.27726053661524,-84.35938072599693,2024-01-23 07:43:00-05:00,2024-01-23 07:59:55-05:00,7,43,7,59,129.03,0,0.0,0.0,0,0,0.0,0.0,129.03,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
2,f32d625a-50cd-4504-8520-32f6e7c0cc28,2024-02-01 12:58:43,2024-02-01 13:00:35,I-275,I-275  Exit 47 / Reed Hartman Hwy,Northbound,2,0.626,0.494,2.02,39.25610349261484,-84.33081465681978,39.275960374034135,-84.35761850868643,2024-02-01 07:58:43-05:00,2024-02-01 08:00:35-05:00,7,58,8,0,4.04,0,0.0,0.0,0,0,0.0,0.0,4.04,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
